{'text': 'somebody posts something on your website', 'start': 1.159, 'duration': 4.901}
{'text': 'you can get sued for what another user', 'start': 3.72, 'duration': 4.68}
{'text': 'uploads on your site if that is the case', 'start': 6.06, 'duration': 4.26}
{'text': "that's not what that is the case that", 'start': 8.4, 'duration': 3.48}
{'text': "absolutely is we're just a Vicky's", 'start': 10.32, 'duration': 4.02}
{'text': 'really yes really yeah yes according to', 'start': 11.88, 'duration': 3.9}
{'text': "let's hear let's hear why they don't", 'start': 14.34, 'duration': 2.699}
{'text': "have to be new because that's the law", 'start': 15.78, 'duration': 2.64}
{'text': "you're not required you're not obligated", 'start': 17.039, 'duration': 3.361}
{'text': 'there is no that we just talked about', 'start': 18.42, 'duration': 3.72}
{'text': 'the First Amendment if you started a', 'start': 20.4, 'duration': 3.48}
{'text': 'private platform a really good question', 'start': 22.14, 'duration': 3.36}
{'text': 'in my opinion is why the [\xa0__\xa0] was', 'start': 23.88, 'duration': 3.719}
{'text': 'Facebook logged by Instagram that [\xa0__\xa0]', 'start': 25.5, 'duration': 3.539}
{'text': 'is crazy to me this is one of those', 'start': 27.599, 'duration': 3.901}
{'text': 'things that seems plainly obvious unless', 'start': 29.039, 'duration': 4.261}
{'text': "you're taking a hardcore political Bend", 'start': 31.5, 'duration': 4.38}
{'text': 'to it if you have a platform', 'start': 33.3, 'duration': 5.099}
{'text': "did not like ultimately I'm gonna have", 'start': 35.88, 'duration': 5.16}
{'text': 'to sign with Nico on this', 'start': 38.399, 'duration': 4.561}
{'text': "our speakers he's been featured in The", 'start': 41.04, 'duration': 3.179}
{'text': 'New York Times in his famous twitch', 'start': 42.96, 'duration': 4.67}
{'text': 'streamer Steven Bonnell', 'start': 44.219, 'duration': 13.0}
{'text': '[Applause]', 'start': 47.63, 'duration': 9.589}
{'text': 'the queen of controversial conversations', 'start': 60.059, 'duration': 4.32}
{'text': 'Ariel scorsella', 'start': 62.1, 'duration': 10.5}
{'text': '[Applause]', 'start': 64.379, 'duration': 11.221}
{'text': "yeah that's fine whichever is fine", 'start': 72.6, 'duration': 6.9}
{'text': 'and worldwide renowned political [\xa0__\xa0]', 'start': 75.6, 'duration': 6.86}
{'text': 'talker Nico house', 'start': 79.5, 'duration': 2.96}
{'text': 'an author author and video essayist', 'start': 87.78, 'duration': 4.13}
{'text': 'Peter coffin', 'start': 90.9, 'duration': 9.699}
{'text': '[Applause]', 'start': 91.91, 'duration': 8.689}
{'text': 'all right welcome to better discourse', 'start': 100.74, 'duration': 4.98}
{'text': "I'm your moderator Brian Edward and", 'start': 103.14, 'duration': 5.159}
{'text': 'today our panel is uh democracy dies', 'start': 105.72, 'duration': 5.46}
{'text': "with Dorsey um that's meant to be a", 'start': 108.299, 'duration': 5.161}
{'text': 'little bit funny because some of that', 'start': 111.18, 'duration': 4.259}
{'text': 'censorship is coming from social media', 'start': 113.46, 'duration': 5.699}
{'text': 'but uh I did hear the quote', 'start': 115.439, 'duration': 5.82}
{'text': "when you tear out a Man's Tongue you're", 'start': 119.159, 'duration': 4.14}
{'text': "not proving him a liar you're only", 'start': 121.259, 'duration': 4.261}
{'text': 'telling the world that you fear what he', 'start': 123.299, 'duration': 4.74}
{'text': 'might say and that was said by some guy', 'start': 125.52, 'duration': 4.56}
{'text': 'named Tyrion from some show named Game', 'start': 128.039, 'duration': 4.501}
{'text': "of Thrones and while we're not in uh", 'start': 130.08, 'duration': 5.4}
{'text': "Westeros we're in the real world", 'start': 132.54, 'duration': 5.46}
{'text': 'censorship and these kind of things are', 'start': 135.48, 'duration': 3.899}
{'text': 'pretty much an issue and I wanted to', 'start': 138.0, 'duration': 3.84}
{'text': 'start the conversation off by citing the', 'start': 139.379, 'duration': 5.761}
{'text': 'ACLU which may or may not be a defender', 'start': 141.84, 'duration': 5.52}
{'text': 'of civil liberties right now that could', 'start': 145.14, 'duration': 4.319}
{'text': "be debated but it says that there's two", 'start': 147.36, 'duration': 3.42}
{'text': 'fundamental principles that come into', 'start': 149.459, 'duration': 4.14}
{'text': 'play involving free expression the first', 'start': 150.78, 'duration': 5.12}
{'text': 'is the government cannot limit', 'start': 153.599, 'duration': 4.981}
{'text': 'expression just because any listener or', 'start': 155.9, 'duration': 4.72}
{'text': 'even the majority of a community is', 'start': 158.58, 'duration': 4.26}
{'text': "offended by its content but that's", 'start': 160.62, 'duration': 4.8}
{'text': 'balanced by second principle that', 'start': 162.84, 'duration': 5.58}
{'text': 'expression may be restricted only if it', 'start': 165.42, 'duration': 5.099}
{'text': 'clearly causes direct and imminent harm', 'start': 168.42, 'duration': 4.8}
{'text': 'to an important social interest', 'start': 170.519, 'duration': 4.741}
{'text': 'so I wanted to ask some of the panelists', 'start': 173.22, 'duration': 3.78}
{'text': 'say do you agree with the sentiments of', 'start': 175.26, 'duration': 4.559}
{'text': 'the ACLU here or do you feel like this', 'start': 177.0, 'duration': 6.84}
{'text': 'second principle is being abused and if', 'start': 179.819, 'duration': 6.721}
{'text': "so how and by whom and let's start with", 'start': 183.84, 'duration': 4.979}
{'text': 'Ariel', 'start': 186.54, 'duration': 5.16}
{'text': "it's a loaded question right because", 'start': 188.819, 'duration': 4.56}
{'text': "I think all of us correct me if I'm", 'start': 191.7, 'duration': 2.94}
{'text': 'wrong all of us have been censored at', 'start': 193.379, 'duration': 2.521}
{'text': "one point maybe not you because you're a", 'start': 194.64, 'duration': 2.819}
{'text': 'little bit more leaning far left', 'start': 195.9, 'duration': 4.38}
{'text': 'absolutely been censored okay well then', 'start': 197.459, 'duration': 4.321}
{'text': "then it's a problem across the political", 'start': 200.28, 'duration': 4.62}
{'text': 'Spectrum right I think that', 'start': 201.78, 'duration': 6.3}
{'text': "as far as I'm concerned I've had people", 'start': 204.9, 'duration': 6.059}
{'text': 'come for me you know in multiple ways', 'start': 208.08, 'duration': 5.34}
{'text': 'try to censor me and I even if I', 'start': 210.959, 'duration': 4.321}
{'text': 'disagree with them to the Core', 'start': 213.42, 'duration': 4.02}
{'text': "I don't think anybody should be censored", 'start': 215.28, 'duration': 5.519}
{'text': "and I especially don't think any major", 'start': 217.44, 'duration': 5.879}
{'text': 'Network should be censoring anybody I', 'start': 220.799, 'duration': 4.5}
{'text': 'think if anything if I have a good', 'start': 223.319, 'duration': 3.241}
{'text': 'enough argument', 'start': 225.299, 'duration': 4.321}
{'text': 'my argument will win a long run anyway', 'start': 226.56, 'duration': 4.259}
{'text': 'here', 'start': 229.62, 'duration': 3.119}
{'text': 'well I mean', 'start': 230.819, 'duration': 4.261}
{'text': 'is it really an ideal or is it a', 'start': 232.739, 'duration': 4.08}
{'text': "question of institutional power that's", 'start': 235.08, 'duration': 3.48}
{'text': "my that's where I'm always coming from", 'start': 236.819, 'duration': 3.06}
{'text': 'on this', 'start': 238.56, 'duration': 3.72}
{'text': 'um what are you saying where is it', 'start': 239.879, 'duration': 4.86}
{'text': 'coming from uh should you be allowed to', 'start': 242.28, 'duration': 4.26}
{'text': 'criticize power and', 'start': 244.739, 'duration': 3.541}
{'text': 'yes obviously', 'start': 246.54, 'duration': 4.32}
{'text': "are you going to be that's another heavy", 'start': 248.28, 'duration': 4.8}
{'text': "question I do think that's probably the", 'start': 250.86, 'duration': 3.659}
{'text': "kind of stuff that we're I would like to", 'start': 253.08, 'duration': 3.2}
{'text': 'be trying to address here', 'start': 254.519, 'duration': 3.96}
{'text': 'Nico where you at', 'start': 256.28, 'duration': 4.6}
{'text': 'so a friend of mine Garland Nixie used', 'start': 258.479, 'duration': 4.801}
{'text': 'to sit on the board of the ACLU and he', 'start': 260.88, 'duration': 5.099}
{'text': 'left because he understands that I mean', 'start': 263.28, 'duration': 5.52}
{'text': "that principle is just it's wrong it's", 'start': 265.979, 'duration': 6.361}
{'text': "unethical we can't have such a principle", 'start': 268.8, 'duration': 5.48}
{'text': "when we don't understand", 'start': 272.34, 'duration': 6.24}
{'text': 'all of the agendas that every single uh', 'start': 274.28, 'duration': 7.78}
{'text': 'powerful institution has and so where', 'start': 278.58, 'duration': 7.26}
{'text': 'they may convince the public that some', 'start': 282.06, 'duration': 6.6}
{'text': 'speech is or could be dangerous to them', 'start': 285.84, 'duration': 5.16}
{'text': "where they're merely just trying to push", 'start': 288.66, 'duration': 3.84}
{'text': 'an ulterior motive that we may not yet', 'start': 291.0, 'duration': 4.199}
{'text': 'be aware of and I think we see that time', 'start': 292.5, 'duration': 6.24}
{'text': 'and time and time and time again and so', 'start': 295.199, 'duration': 6.361}
{'text': "who's to say what's dangerous something", 'start': 298.74, 'duration': 5.1}
{'text': 'could appear dangerous in the short term', 'start': 301.56, 'duration': 4.139}
{'text': 'But ultimately end up working out in the', 'start': 303.84, 'duration': 4.32}
{'text': 'long term but at the end of the day like', 'start': 305.699, 'duration': 4.081}
{'text': 'I feel like everybody who knows me knows', 'start': 308.16, 'duration': 3.539}
{'text': "I'm a free speech absolutist and the", 'start': 309.78, 'duration': 4.74}
{'text': 'only way to defeat bad speech is just', 'start': 311.699, 'duration': 4.44}
{'text': 'with more speech and just make sure you', 'start': 314.52, 'duration': 2.64}
{'text': "know what the hell you're talking about", 'start': 316.139, 'duration': 3.541}
{'text': "when you address it like that's the way", 'start': 317.16, 'duration': 6.0}
{'text': 'to conquer this this fear of what if', 'start': 319.68, 'duration': 5.28}
{'text': 'they say something bad bad things could', 'start': 323.16, 'duration': 5.16}
{'text': 'happen will allow speech to flow freely', 'start': 324.96, 'duration': 5.22}
{'text': 'and I guarantee you problems will begin', 'start': 328.32, 'duration': 4.14}
{'text': "to solve themselves that's yeah can I", 'start': 330.18, 'duration': 3.66}
{'text': 'just piggyback on that point because', 'start': 332.46, 'duration': 2.82}
{'text': 'this is one thing an ex-girlfriend said', 'start': 333.84, 'duration': 2.82}
{'text': 'of the only thing I got from that', 'start': 335.28, 'duration': 2.94}
{'text': 'relationship was this point', 'start': 336.66, 'duration': 3.599}
{'text': 'and she said that', 'start': 338.22, 'duration': 4.319}
{'text': 'no matter what somebody says we should', 'start': 340.259, 'duration': 4.44}
{'text': 'allow them to say it because people are', 'start': 342.539, 'duration': 4.081}
{'text': 'thinking it anyway and when you allow', 'start': 344.699, 'duration': 3.901}
{'text': 'them to say it publicly you also allow', 'start': 346.62, 'duration': 4.62}
{'text': "people to be aware that they're saying", 'start': 348.6, 'duration': 4.379}
{'text': "possibly something that's incorrect and", 'start': 351.24, 'duration': 3.72}
{'text': 'then you can correct them on it but you', 'start': 352.979, 'duration': 3.301}
{'text': "wouldn't be able to correct them if you", 'start': 354.96, 'duration': 2.22}
{'text': "didn't if they didn't have the", 'start': 356.28, 'duration': 3.3}
{'text': 'opportunity to say in the first place', 'start': 357.18, 'duration': 4.44}
{'text': 'Destiny what do you think I think that', 'start': 359.58, 'duration': 3.42}
{'text': 'the first amendment is important I think', 'start': 361.62, 'duration': 2.82}
{'text': "it's beautiful I think it's well worded", 'start': 363.0, 'duration': 2.94}
{'text': 'and I think freedom of speech as a', 'start': 364.44, 'duration': 2.52}
{'text': 'concept is something that should be', 'start': 365.94, 'duration': 2.64}
{'text': 'defended but I think oftentimes people', 'start': 366.96, 'duration': 3.84}
{'text': 'misapply it to private platforms like', 'start': 368.58, 'duration': 3.959}
{'text': 'Twitter and Facebook and they try to', 'start': 370.8, 'duration': 3.42}
{'text': 'take these arguments about whether or', 'start': 372.539, 'duration': 3.361}
{'text': 'not the government should abridge our', 'start': 374.22, 'duration': 3.12}
{'text': "freedom of speech which it shouldn't", 'start': 375.9, 'duration': 4.5}
{'text': 'except in certain dire cases like', 'start': 377.34, 'duration': 4.859}
{'text': 'yelling fire in a crowded theater or the', 'start': 380.4, 'duration': 2.94}
{'text': 'spreading of like child pornography or', 'start': 382.199, 'duration': 2.28}
{'text': 'something of course which I think we all', 'start': 383.34, 'duration': 2.52}
{'text': 'agree with but I think that applying', 'start': 384.479, 'duration': 3.301}
{'text': 'those same arguments to private', 'start': 385.86, 'duration': 3.959}
{'text': 'institutions actually in a way becomes', 'start': 387.78, 'duration': 4.38}
{'text': 'an anti-first amendment argument so I do', 'start': 389.819, 'duration': 3.6}
{'text': 'agree that the first amendment is', 'start': 392.16, 'duration': 2.94}
{'text': 'important insofar as it applies to the', 'start': 393.419, 'duration': 3.0}
{'text': 'government but those principles', 'start': 395.1, 'duration': 3.3}
{'text': "shouldn't carry forward to every single", 'start': 396.419, 'duration': 3.421}
{'text': 'private platform that we engage in', 'start': 398.4, 'duration': 3.359}
{'text': 'because one of your freedoms as an owner', 'start': 399.84, 'duration': 3.12}
{'text': 'of a private platform is to determine', 'start': 401.759, 'duration': 3.361}
{'text': 'what type of content do I want posted on', 'start': 402.96, 'duration': 4.14}
{'text': 'this particular platform but what if', 'start': 405.12, 'duration': 4.38}
{'text': 'that platform has become a monopoly I', 'start': 407.1, 'duration': 3.719}
{'text': "think that's a good argument to to", 'start': 409.5, 'duration': 3.06}
{'text': 'combat that point I mean if a platform', 'start': 410.819, 'duration': 3.301}
{'text': 'has become a monopoly then we can talk', 'start': 412.56, 'duration': 3.24}
{'text': 'about antitrust laws we can talk about', 'start': 414.12, 'duration': 3.54}
{'text': 'things like this but you you cannot', 'start': 415.8, 'duration': 5.399}
{'text': 'enforce a platform to just have all', 'start': 417.66, 'duration': 5.939}
{'text': 'content on it so anti-first Amendment', 'start': 421.199, 'duration': 4.801}
{'text': "argument I mean if it's uh I'm still", 'start': 423.599, 'duration': 4.021}
{'text': 'trying to understand why do people keep', 'start': 426.0, 'duration': 3.96}
{'text': 'pretending as if Facebook is a private', 'start': 427.62, 'duration': 4.799}
{'text': "platform like it's it's not it's a", 'start': 429.96, 'duration': 3.9}
{'text': "definition it's not they literally have", 'start': 432.419, 'duration': 3.481}
{'text': 'former CIA agents working within', 'start': 433.86, 'duration': 5.52}
{'text': 'Facebook Facebook goes into Congress you', 'start': 435.9, 'duration': 4.919}
{'text': 'know comes up with a bunch of nonsense', 'start': 439.38, 'duration': 3.36}
{'text': 'after they get accused of something and', 'start': 440.819, 'duration': 3.6}
{'text': 'somehow some way they always end up', 'start': 442.74, 'duration': 3.6}
{'text': 'coming out on top in fact it is', 'start': 444.419, 'duration': 4.141}
{'text': 'literally a law that is allowing them to', 'start': 446.34, 'duration': 4.799}
{'text': 'act as like as Arbiters of truthful or', 'start': 448.56, 'duration': 4.139}
{'text': 'false information', 'start': 451.139, 'duration': 4.081}
{'text': "be like because of a law that it's it's", 'start': 452.699, 'duration': 4.56}
{'text': 'protecting them and whenever anyone goes', 'start': 455.22, 'duration': 3.479}
{'text': 'to try and change it they are the ones', 'start': 457.259, 'duration': 2.821}
{'text': 'who have the money to then influence', 'start': 458.699, 'duration': 3.0}
{'text': 'politicians not that they even have to', 'start': 460.08, 'duration': 3.3}
{'text': 'but they have the money to influence', 'start': 461.699, 'duration': 3.72}
{'text': 'politicians to make sure that that law', 'start': 463.38, 'duration': 4.259}
{'text': 'that they are benefiting from continues', 'start': 465.419, 'duration': 3.9}
{'text': 'to allow them to then influence the', 'start': 467.639, 'duration': 3.541}
{'text': 'outcome of elections in one form or', 'start': 469.319, 'duration': 4.261}
{'text': 'another at the end of the day when they', 'start': 471.18, 'duration': 4.079}
{'text': 'constantly act on behalf of the', 'start': 473.58, 'duration': 3.42}
{'text': 'government uh especially when it seems', 'start': 475.259, 'duration': 3.72}
{'text': 'that there is a partisan agenda involved', 'start': 477.0, 'duration': 3.66}
{'text': 'when they go to the government and get', 'start': 478.979, 'duration': 3.241}
{'text': "exactly what they want they're not being", 'start': 480.66, 'duration': 3.3}
{'text': 'held accountable like other private', 'start': 482.22, 'duration': 3.0}
{'text': 'institutions have been held accountable', 'start': 483.96, 'duration': 3.359}
{'text': 'at what point do we stop pretending that', 'start': 485.22, 'duration': 4.86}
{'text': 'words mean like that that private and', 'start': 487.319, 'duration': 5.401}
{'text': 'public mean whatever they say it means', 'start': 490.08, 'duration': 4.5}
{'text': "when they're clearly acting as a public", 'start': 492.72, 'duration': 4.62}
{'text': 'arm of the government so the I mean', 'start': 494.58, 'duration': 4.619}
{'text': "that's a conversation we get into so", 'start': 497.34, 'duration': 3.6}
{'text': 'private means not government means', 'start': 499.199, 'duration': 3.78}
{'text': 'privately owned Facebook is a privately', 'start': 500.94, 'duration': 3.599}
{'text': "owned company it's not owned by the", 'start': 502.979, 'duration': 2.94}
{'text': 'government if you want to have a', 'start': 504.539, 'duration': 2.34}
{'text': 'conversation about whether or not', 'start': 505.919, 'duration': 2.701}
{'text': 'section 230 should be repealed which it', 'start': 506.879, 'duration': 3.121}
{'text': "shouldn't be if you want to have a", 'start': 508.62, 'duration': 2.16}
{'text': 'conversation about whether or not', 'start': 510.0, 'duration': 2.279}
{'text': 'platforms should be allowed to moderate', 'start': 510.78, 'duration': 2.819}
{'text': 'their content we which they absolutely', 'start': 512.279, 'duration': 2.64}
{'text': 'should be if you want to have a', 'start': 513.599, 'duration': 2.221}
{'text': 'conversation about whether or not you', 'start': 514.919, 'duration': 1.8}
{'text': 'should be allowed to Lobby the', 'start': 515.82, 'duration': 2.099}
{'text': 'government I think most of us agree you', 'start': 516.719, 'duration': 2.521}
{'text': 'probably should be to some limit extent', 'start': 517.919, 'duration': 3.0}
{'text': 'those are all great great conversations', 'start': 519.24, 'duration': 3.96}
{'text': 'to have but the idea that just because a', 'start': 520.919, 'duration': 3.54}
{'text': 'private company lobbies the government', 'start': 523.2, 'duration': 2.639}
{'text': "they're somehow not are you familiar", 'start': 524.459, 'duration': 2.581}
{'text': 'with and can you tell do you know', 'start': 525.839, 'duration': 3.841}
{'text': "incotel is do I don't need a CIA", 'start': 527.04, 'duration': 4.08}
{'text': 'Adventure capitalist firm in Arlington', 'start': 529.68, 'duration': 2.96}
{'text': 'Virginia', 'start': 531.12, 'duration': 4.2}
{'text': "basically there's a I can go through the", 'start': 532.64, 'duration': 4.12}
{'text': 'the whole way they did it but basically', 'start': 535.32, 'duration': 4.62}
{'text': 'Peter Thiel ingotel invested into', 'start': 536.76, 'duration': 5.34}
{'text': "Facebook that's how Facebook became what", 'start': 539.94, 'duration': 4.56}
