{'text': "like that's the worst argument possible", 'start': 0.08, 'duration': 5.6}
{'text': "but that's my that's my story yeah well", 'start': 2.8, 'duration': 4.32}
{'text': "i i feel like we're gonna have to figure", 'start': 5.68, 'duration': 3.2}
{'text': 'out like when is the when is it like a', 'start': 7.12, 'duration': 3.68}
{'text': 'baby when is it a thing that is worth', 'start': 8.88, 'duration': 3.919}
{'text': 'protecting and i think if that answer is', 'start': 10.8, 'duration': 3.999}
{'text': "gonna be at conception i mean i don't", 'start': 12.799, 'duration': 3.761}
{'text': 'think that even in the case i disagree', 'start': 14.799, 'duration': 2.961}
{'text': 'think of it this is kind of what i was', 'start': 16.56, 'duration': 2.559}
{'text': 'saying earlier i think if the question', 'start': 17.76, 'duration': 4.8}
{'text': "is difficult it's not a fetus", 'start': 19.119, 'duration': 5.441}
{'text': 'when it first could you have first', 'start': 22.56, 'duration': 4.16}
{'text': 'conception', 'start': 24.56, 'duration': 3.6}
{'text': "but if it's not a theta first conception", 'start': 26.72, 'duration': 2.319}
{'text': "why shouldn't you be able to get an", 'start': 28.16, 'duration': 2.08}
{'text': 'abortion over and over and over again', 'start': 29.039, 'duration': 3.601}
{'text': "then who cares because she's waiting", 'start': 30.24, 'duration': 5.12}
{'text': 'until she the cutoff date which is what', 'start': 32.64, 'duration': 3.68}
{'text': "well no let's say they're not waiting", 'start': 35.36, 'duration': 2.719}
{'text': "for the customer let's say", 'start': 36.32, 'duration': 3.28}
{'text': "let's say that you found out that it was", 'start': 38.079, 'duration': 3.841}
{'text': 'the product of incest and you just got a', 'start': 39.6, 'duration': 3.52}
{'text': 'video that showed that you were raped', 'start': 41.92, 'duration': 3.28}
{'text': "and you didn't remember it and you have", 'start': 43.12, 'duration': 3.84}
{'text': 'a lot of financial hardship i guess you', 'start': 45.2, 'duration': 2.8}
{'text': 'should be able to kill your one-year-old', 'start': 46.96, 'duration': 2.48}
{'text': "child right that would never it wouldn't", 'start': 48.0, 'duration': 3.199}
{'text': 'even come close to hitting or meeting', 'start': 49.44, 'duration': 4.639}
{'text': 'that bar or exceeding that threshold so', 'start': 51.199, 'duration': 5.68}
{'text': 'killing a day-old embryo seems morally', 'start': 54.079, 'duration': 5.601}
{'text': 'acceptable to most americans', 'start': 56.879, 'duration': 5.281}
{'text': 'but killing a day-old baby is one of the', 'start': 59.68, 'duration': 4.96}
{'text': 'worst crimes imaginable', 'start': 62.16, 'duration': 5.04}
{'text': 'somewhere in there a line must be drawn', 'start': 64.64, 'duration': 5.28}
{'text': 'both legally and morally and maybe not', 'start': 67.2, 'duration': 4.56}
{'text': 'in the same place', 'start': 69.92, 'duration': 4.96}
{'text': 'where do you draw yours', 'start': 71.76, 'duration': 3.12}
{'text': 'are we opening it up entirely', 'start': 76.479, 'duration': 4.081}
{'text': 'yes', 'start': 78.32, 'duration': 2.24}
{'text': "there's a", 'start': 82.08, 'duration': 2.8}
{'text': "there's an answer that i have for it and", 'start': 83.36, 'duration': 5.04}
{'text': 'i usually call it tiered morality um', 'start': 84.88, 'duration': 5.36}
{'text': 'i consider', 'start': 88.4, 'duration': 5.28}
{'text': 'the ability to process input and in a', 'start': 90.24, 'duration': 5.76}
{'text': "way that's individual and in a way that", 'start': 93.68, 'duration': 4.16}
{'text': 'can be recognized as consciousness to be', 'start': 96.0, 'duration': 3.68}
{'text': 'pretty integral to how', 'start': 97.84, 'duration': 2.639}
{'text': 'i', 'start': 99.68, 'duration': 3.52}
{'text': 'see this issue and so', 'start': 100.479, 'duration': 3.6}
{'text': 'i', 'start': 103.2, 'duration': 2.879}
{'text': 'see', 'start': 104.079, 'duration': 4.801}
{'text': 'the consciousness', 'start': 106.079, 'duration': 7.601}
{'text': 'or lack thereof of a day old embryo', 'start': 108.88, 'duration': 8.0}
{'text': 'to be physically undermined', 'start': 113.68, 'duration': 6.16}
{'text': 'in comparison to the consciousness', 'start': 116.88, 'duration': 4.64}
{'text': 'of a', 'start': 119.84, 'duration': 4.16}
{'text': "day old baby and that's simply because", 'start': 121.52, 'duration': 4.879}
{'text': "of biology however there's a line in", 'start': 124.0, 'duration': 4.64}
{'text': 'there of about 15 weeks', 'start': 126.399, 'duration': 4.401}
{'text': 'wherein you start to see the development', 'start': 128.64, 'duration': 4.0}
{'text': 'of a nervous system', 'start': 130.8, 'duration': 2.799}
{'text': 'and', 'start': 132.64, 'duration': 4.0}
{'text': 'that sort of begins an exponentially', 'start': 133.599, 'duration': 5.681}
{'text': 'upward slope into', 'start': 136.64, 'duration': 4.319}
{'text': 'the part of tiered morality that', 'start': 139.28, 'duration': 4.319}
