{'text': 'i have with me destiny twitch streamer', 'start': 0.08, 'duration': 6.56}
{'text': 'gamer and youtube personality and for', 'start': 3.6, 'duration': 4.8}
{'text': 'the first time', 'start': 6.64, 'duration': 3.44}
{'text': "i'm meeting his", 'start': 8.4, 'duration': 3.199}
{'text': "i don't know if it's his girlfriend", 'start': 10.08, 'duration': 4.639}
{'text': "beyonce why i'll find out", 'start': 11.599, 'duration': 7.68}
{'text': 'uh he uh with us today is malina', 'start': 14.719, 'duration': 4.56}
{'text': "garrison i'm gonna let her say the last", 'start': 19.359, 'duration': 4.0}
{'text': "thing i'm sure i'm screwing that up", 'start': 21.52, 'duration': 2.96}
{'text': 'she is', 'start': 23.359, 'duration': 3.84}
{'text': 'she is a twitch streamer', 'start': 24.48, 'duration': 6.16}
{'text': 'and swedish immigrant model', 'start': 27.199, 'duration': 4.801}
{'text': 'i mean', 'start': 30.64, 'duration': 2.8}
{'text': 'what is that', 'start': 32.0, 'duration': 5.12}
{'text': 'instagram model', 'start': 33.44, 'duration': 3.68}
{'text': "yeah that's close enough yeah i don't", 'start': 38.399, 'duration': 4.441}
{'text': 'have instant oh', 'start': 40.16, 'duration': 4.239}
{'text': 'instagram', 'start': 42.84, 'duration': 3.879}
{'text': "she's a twitch streamer", 'start': 44.399, 'duration': 5.761}
{'text': "as sweet as instagram i'm really glad", 'start': 46.719, 'duration': 6.32}
{'text': 'they decided to believe that', 'start': 50.16, 'duration': 5.76}
{'text': 'thank you thank you yes um', 'start': 53.039, 'duration': 5.121}
{'text': "it's good to see you again uh destiny", 'start': 55.92, 'duration': 4.639}
{'text': "it's been a while", 'start': 58.16, 'duration': 4.0}
{'text': "thanks it's good to see you too", 'start': 60.559, 'duration': 3.121}
{'text': "destiny peterson i think that's how you", 'start': 62.16, 'duration': 3.12}
{'text': "introduce yourself it's glad to get to", 'start': 63.68, 'duration': 3.04}
{'text': 'meet you again', 'start': 65.28, 'duration': 4.24}
{'text': "that's right so you both are in sweden", 'start': 66.72, 'duration': 4.96}
{'text': 'right now why are you there', 'start': 69.52, 'duration': 4.8}
{'text': "because i live here and he's visiting oh", 'start': 71.68, 'duration': 3.68}
{'text': 'i see', 'start': 74.32, 'duration': 2.32}
{'text': 'amazing', 'start': 75.36, 'duration': 2.56}
{'text': 'and so', 'start': 76.64, 'duration': 3.92}
{'text': 'i was watching some of your videos last', 'start': 77.92, 'duration': 4.8}
{'text': "night molina because i hadn't heard i", 'start': 80.56, 'duration': 4.64}
