{'text': "i'm so passionate about equipping women", 'start': 7.6, 'duration': 6.88}
{'text': 'to navigate like dating landscapes as', 'start': 12.08, 'duration': 5.36}
{'text': 'like a mature capable adult because i', 'start': 14.48, 'duration': 4.639}
{'text': "actually think that we've absolutely", 'start': 17.44, 'duration': 3.28}
{'text': 'infantilized women', 'start': 19.119, 'duration': 3.601}
{'text': 'and i think we always have like i think', 'start': 20.72, 'duration': 4.24}
{'text': 'historically we infantilized women and', 'start': 22.72, 'duration': 4.799}
{'text': "it's like this weird like actual", 'start': 24.96, 'duration': 4.96}
{'text': 'patriarchal like view of women that it', 'start': 27.519, 'duration': 3.84}
{'text': "like feels like we're like weirdly", 'start': 29.92, 'duration': 3.92}
{'text': "holding on to and i don't understand why", 'start': 31.359, 'duration': 4.241}
{'text': 'because i think like the reality is that', 'start': 33.84, 'duration': 3.76}
{'text': "it's not saying that you aren't a victim", 'start': 35.6, 'duration': 4.08}
{'text': "of actual circumstances it's saying", 'start': 37.6, 'duration': 4.16}
{'text': "honestly if you're not able to like say", 'start': 39.68, 'duration': 4.08}
{'text': "the word sex or if you're not able to", 'start': 41.76, 'duration': 4.16}
{'text': 'say like hey these are my boundaries and', 'start': 43.76, 'duration': 3.84}
{'text': "i'm not okay with it maybe we should", 'start': 45.92, 'duration': 3.6}
{'text': 'just evaluate certain circumstances to', 'start': 47.6, 'duration': 3.92}
{'text': 'make sure you stay safer like how do we', 'start': 49.52, 'duration': 4.08}
{'text': "do that because casually don't have", 'start': 51.52, 'duration': 4.48}
{'text': "casual effects yeah yeah that's a pretty", 'start': 53.6, 'duration': 4.0}
{'text': 'good rule of thumb and if you want to', 'start': 56.0, 'duration': 3.039}
{'text': "they're like that's what we have to talk", 'start': 57.6, 'duration': 2.799}
{'text': "about it's like we've been like so as a", 'start': 59.039, 'duration': 3.68}
{'text': 'culture like so like rah-rah casual sex', 'start': 60.399, 'duration': 4.08}
{'text': "and it's like sure go wherever you want", 'start': 62.719, 'duration': 3.121}
{'text': "i don't give a [\xa0__\xa0]", 'start': 64.479, 'duration': 2.591}
{'text': 'but', 'start': 65.84, 'duration': 2.48}
{'text': '[Music]', 'start': 67.07, 'duration': 4.29}
{'text': 'okay final question the edgy one to end', 'start': 68.32, 'duration': 4.88}
{'text': 'out to round out the night', 'start': 71.36, 'duration': 3.28}
{'text': 'um you said that you caught some of my', 'start': 73.2, 'duration': 3.12}
{'text': 'earlier conversations that i was having', 'start': 74.64, 'duration': 2.64}
{'text': 'today', 'start': 76.32, 'duration': 3.76}
{'text': 'do you have any strong opinions oh man', 'start': 77.28, 'duration': 5.36}
{'text': 'um anything specifically i caught like', 'start': 80.08, 'duration': 4.64}
{'text': "so i'm gonna be honest i was painting", 'start': 82.64, 'duration': 3.68}
{'text': 'and trying to get like the reckfuls done', 'start': 84.72, 'duration': 3.92}
{'text': 'and everything so i got like i got like', 'start': 86.32, 'duration': 4.24}
{'text': 'five minutes of scream raging and i was', 'start': 88.64, 'duration': 3.439}
{'text': "like i'm already kind of anxious for", 'start': 90.56, 'duration': 4.32}
{'text': 'this talk today i need to not and i', 'start': 92.079, 'duration': 4.4}
{'text': 'think somebody actually sent me a', 'start': 94.88, 'duration': 3.04}
{'text': 'message what did they say was one of my', 'start': 96.479, 'duration': 2.96}
{'text': "followers they're like destiny's", 'start': 97.92, 'duration': 3.839}
{'text': 'debating about this what did they say', 'start': 99.439, 'duration': 3.281}
{'text': 'um', 'start': 101.759, 'duration': 2.561}
{'text': "i'm pro-rape at the moment so i was just", 'start': 102.72, 'duration': 4.0}
{'text': 'curious if you were anti-racist', 'start': 104.32, 'duration': 4.32}
{'text': 'destiny basically victim', 'start': 106.72, 'duration': 3.92}
{'text': 'blamed today are you okay with that or', 'start': 108.64, 'duration': 3.439}
{'text': 'are you going to read this and then not', 'start': 110.64, 'duration': 3.119}
{'text': "respond i think is that somebody there's", 'start': 112.079, 'duration': 4.0}
{'text': 'only one type of deal headset is that', 'start': 113.759, 'duration': 4.0}
{'text': "true that you're there what have you", 'start': 116.079, 'duration': 2.881}
{'text': 'said actually', 'start': 117.759, 'duration': 3.201}
{'text': 'um okay wait hold on', 'start': 118.96, 'duration': 3.68}
{'text': "come back to the computer okay we don't", 'start': 120.96, 'duration': 3.119}
{'text': "we don't have to look at actual tweets", 'start': 122.64, 'duration': 3.839}
{'text': 'okay i can paraphrase okay', 'start': 124.079, 'duration': 3.281}
{'text': 'um', 'start': 126.479, 'duration': 2.48}
{'text': 'there might have been some questionable', 'start': 127.36, 'duration': 3.2}
{'text': 'phrases like [\xa0__\xa0] children thrown', 'start': 128.959, 'duration': 3.121}
{'text': "around in there okay but don't okay we", 'start': 130.56, 'duration': 2.96}
{'text': "don't have to we don't have to worry", 'start': 132.08, 'duration': 2.56}
{'text': "about the we don't have to worry the", 'start': 133.52, 'duration': 4.48}
{'text': 'specifics of the three things okay um', 'start': 134.64, 'duration': 5.04}
{'text': 'okay hold on real quick let me set the', 'start': 138.0, 'duration': 3.52}
{'text': 'stage okay so', 'start': 139.68, 'duration': 4.88}
{'text': 'i feel like in the', 'start': 141.52, 'duration': 4.4}
