{'text': "can we talk about let's talk about", 'start': 3.77, 'duration': 5.02}
{'text': "virtual right now I feel like I'm", 'start': 6.839, 'duration': 5.67}
{'text': 'getting okay when you have girls that', 'start': 8.79, 'duration': 6.059}
{'text': 'are matching you from 7,000 miles away', 'start': 12.509, 'duration': 3.78}
{'text': "and then in their profile they're like", 'start': 14.849, 'duration': 4.951}
{'text': 'no sexting no nudes lol like what the', 'start': 16.289, 'duration': 5.07}
{'text': '[\xa0__\xa0] are you texting people for in', 'start': 19.8, 'duration': 3.84}
{'text': 'tinder why I should have the option not', 'start': 21.359, 'duration': 3.691}
{'text': "to match you I don't consent to that", 'start': 23.64, 'duration': 2.79}
{'text': 'I literally have my thing said to like I', 'start': 25.05, 'duration': 3.6}
{'text': "think it's like 50 or 25 miles max why", 'start': 26.43, 'duration': 3.57}
{'text': 'am I getting people matching me from in', 'start': 28.65, 'duration': 3.96}
{'text': 'Brazil like entender they they have a', 'start': 30.0, 'duration': 3.719}
{'text': 'new thing set up where you can basically', 'start': 32.61, 'duration': 2.52}
{'text': 'have it so that people can match all', 'start': 33.719, 'duration': 2.671}
{'text': 'around the world you get like a free geo', 'start': 35.13, 'duration': 4.85}
{'text': 'pass like well the do I care who cares I', 'start': 36.39, 'duration': 5.3}
{'text': 'hate them', 'start': 39.98, 'duration': 6.3}
{'text': "Plus most well I guess they're not a", 'start': 41.69, 'duration': 4.59}
{'text': 'ludic scriptures what tough', 'start': 51.86, 'duration': 4.17}
{'text': 'so many stumble Matsumoto Kannada try', 'start': 58.53, 'duration': 7.14}
{'text': 'bumble instead bubble okay', 'start': 63.84, 'duration': 11.91}
{'text': "that's platform hell no okay what are", 'start': 65.67, 'duration': 12.559}
{'text': 'you looking at', 'start': 75.75, 'duration': 2.479}
{'text': 'wait what am i doing oh quests okay I', 'start': 79.28, 'duration': 5.74}
{'text': 'need to go back talk to him and then I', 'start': 82.94, 'duration': 3.789}
{'text': "just need to find the music I don't know", 'start': 85.02, 'duration': 5.39}
