{'text': 'uh i always found it odd like throughout', 'start': 0.399, 'duration': 3.361}
{'text': 'my life', 'start': 3.04, 'duration': 2.719}
{'text': 'like people would cry if they get like a', 'start': 3.76, 'duration': 3.519}
{'text': 'receiving insult or mean comment on the', 'start': 5.759, 'duration': 2.241}
{'text': 'internet', 'start': 7.279, 'duration': 2.961}
{'text': 'and like the good times like the golden', 'start': 8.0, 'duration': 4.08}
{'text': 'times like playing halo 2', 'start': 10.24, 'duration': 3.92}
{'text': 'cod 4 and it was like nothing but like a', 'start': 12.08, 'duration': 3.36}
{'text': 'beautiful pool of', 'start': 14.16, 'duration': 3.44}
{'text': 'talkers and over time you will either', 'start': 15.44, 'duration': 4.24}
{'text': 'grow tough skin being around them', 'start': 17.6, 'duration': 3.28}
{'text': "and you don't become like the best", 'start': 19.68, 'duration': 3.04}
{'text': 'version of yourself or you just end up', 'start': 20.88, 'duration': 3.12}
{'text': 'becoming like a', 'start': 22.72, 'duration': 3.12}
{'text': "i don't know like a dg or and never play", 'start': 24.0, 'duration': 4.88}
{'text': "any games ever again because you're hurt", 'start': 25.84, 'duration': 4.56}
{'text': 'yeah so like my question is like for the', 'start': 28.88, 'duration': 2.88}
{'text': 'people that have never experienced like', 'start': 30.4, 'duration': 2.319}
{'text': 'trash talking', 'start': 31.76, 'duration': 3.76}
{'text': 'between like 2000 like 2012 do you think', 'start': 32.719, 'duration': 4.241}
{'text': "like there's ever a chance for these", 'start': 35.52, 'duration': 2.879}
{'text': 'like casuals to ever like', 'start': 36.96, 'duration': 3.68}
{'text': 'grow tough skin because like i assume', 'start': 38.399, 'duration': 3.68}
{'text': 'since they cannot like', 'start': 40.64, 'duration': 3.84}
{'text': 'play any good games or like can aim they', 'start': 42.079, 'duration': 4.0}
{'text': 'like rely on like talking [\xa0__\xa0]', 'start': 44.48, 'duration': 3.12}
{'text': "on twitter but i don't think that would", 'start': 46.079, 'duration': 3.521}
{'text': 'make them have tougher skin over time', 'start': 47.6, 'duration': 4.56}
{'text': "since it's all like text not like", 'start': 49.6, 'duration': 3.2}
{'text': 'talking', 'start': 52.16, 'duration': 2.48}
{'text': 'someone but like an active voice okay', 'start': 52.8, 'duration': 3.12}
{'text': "i'm about to make some big", 'start': 54.64, 'duration': 2.64}
{'text': 'assumptions okay are you a mixed', 'start': 55.92, 'duration': 3.2}
{'text': 'background', 'start': 57.28, 'duration': 3.119}
{'text': 'what do you mean by that like you have', 'start': 59.12, 'duration': 3.52}
{'text': 'like a white parent', 'start': 60.399, 'duration': 5.681}
{'text': "uh no they're both peruvians", 'start': 62.64, 'duration': 6.88}
{'text': 'so one is black and hispanic and latino', 'start': 66.08, 'duration': 5.68}
{'text': 'and the other one is you know hispanic', 'start': 69.52, 'duration': 3.52}
{'text': 'latino peruvian', 'start': 71.76, 'duration': 3.76}
{'text': "and yeah but okay i guess there's you", 'start': 73.04, 'duration': 3.68}
{'text': "know i'm only asking for you", 'start': 75.52, 'duration': 2.48}
{'text': 'sound because you can sound a little', 'start': 76.72, 'duration': 2.88}
{'text': 'white in terms of like how you sound on', 'start': 78.0, 'duration': 2.159}
{'text': 'the', 'start': 79.6, 'duration': 2.159}
{'text': 'um yeah because i grew up on the', 'start': 80.159, 'duration': 4.481}
{'text': 'internet so yeah yeah yeah youtubers', 'start': 81.759, 'duration': 5.36}
{'text': 'yeah so the only the reason um the', 'start': 84.64, 'duration': 3.519}
{'text': 'reason i bring this up is because i', 'start': 87.119, 'duration': 2.0}
{'text': "think that they're like", 'start': 88.159, 'duration': 2.64}
{'text': 'i think that there are fundamentally two', 'start': 89.119, 'duration': 4.64}
{'text': 'different types of insults online', 'start': 90.799, 'duration': 4.881}
{'text': 'um maybe i might be able to think of', 'start': 93.759, 'duration': 3.121}
{'text': "more types of there's like fundamental", 'start': 95.68, 'duration': 2.96}
{'text': 'different types of insults so i think', 'start': 96.88, 'duration': 3.36}
{'text': "you have insults where we're all just", 'start': 98.64, 'duration': 3.6}
{'text': 'kind of like trash talking and insulting', 'start': 100.24, 'duration': 2.559}
{'text': 'each other', 'start': 102.24, 'duration': 3.28}
{'text': "and that's like a thing that people do", 'start': 102.799, 'duration': 4.161}
{'text': "but i think there's another type of", 'start': 105.52, 'duration': 2.08}
{'text': 'insult', 'start': 106.96, 'duration': 2.64}
