{'text': "let's say that there is a mother who's", 'start': 0.08, 'duration': 4.239}
{'text': "pregnant and let's say that um there's a", 'start': 1.92, 'duration': 2.96}
{'text': '90', 'start': 4.319, 'duration': 2.321}
{'text': 'chance that she dies during childbirth', 'start': 4.88, 'duration': 3.44}
{'text': "there's a 100 chance that the baby will", 'start': 6.64, 'duration': 2.879}
{'text': 'live every single time', 'start': 8.32, 'duration': 2.88}
{'text': 'do you think that the mother should', 'start': 9.519, 'duration': 3.04}
{'text': 'always be forced to give birth even', 'start': 11.2, 'duration': 2.559}
{'text': "knowing that she's gonna die nine times", 'start': 12.559, 'duration': 2.801}
{'text': 'out of ten', 'start': 13.759, 'duration': 4.961}
{'text': 'um my name is sandy', 'start': 15.36, 'duration': 4.919}
{'text': 'you can follow me on tech talk at', 'start': 18.72, 'duration': 4.479}
{'text': 'seanview.reasoning and i am pro-life', 'start': 20.279, 'duration': 5.881}
{'text': 'and i would call myself a capitalist um', 'start': 23.199, 'duration': 3.761}
{'text': 'yeah', 'start': 26.16, 'duration': 2.72}
{'text': 'so i should just go into my opening now', 'start': 26.96, 'duration': 3.28}
{'text': "yeah go for it and then i'm destiny blah", 'start': 28.88, 'duration': 2.719}
{'text': "blah blah and then yeah what's your go", 'start': 30.24, 'duration': 3.04}
{'text': 'for it give us your opening opening', 'start': 31.599, 'duration': 3.361}
{'text': 'statement for for life yeah', 'start': 33.28, 'duration': 4.799}
{'text': 'or anti-portioning um so', 'start': 34.96, 'duration': 5.279}
{'text': 'the reason that i am pro-life is because', 'start': 38.079, 'duration': 3.121}
{'text': 'i hold that', 'start': 40.239, 'duration': 3.84}
{'text': 'all people belong to a human substance', 'start': 41.2, 'duration': 5.039}
{'text': 'this is their substance form so', 'start': 44.079, 'duration': 4.241}
{'text': 'a defining characteristic of this form', 'start': 46.239, 'duration': 4.561}
{'text': 'is the potency to attain values and act', 'start': 48.32, 'duration': 4.16}
{'text': 'towards virtues', 'start': 50.8, 'duration': 3.759}
{'text': 'in order to do these necessary', 'start': 52.48, 'duration': 3.52}
{'text': 'conditions people need', 'start': 54.559, 'duration': 4.401}
{'text': 'to be able to actualize their values and', 'start': 56.0, 'duration': 4.32}
{'text': 'sustain their lives', 'start': 58.96, 'duration': 3.04}
{'text': 'which kind of leads to the proper form', 'start': 60.32, 'duration': 3.6}
{'text': 'of government would be to protect life', 'start': 62.0, 'duration': 3.36}
{'text': 'and liberties', 'start': 63.92, 'duration': 3.76}
{'text': 'um i believe that people ought to have', 'start': 65.36, 'duration': 3.439}
{'text': 'the ability to live', 'start': 67.68, 'duration': 3.6}
{'text': 'and the ability to act unintended to', 'start': 68.799, 'duration': 4.64}
{'text': 'sustain their own lives', 'start': 71.28, 'duration': 6.64}
{'text': 'um yeah so you can go ahead okay um', 'start': 73.439, 'duration': 8.161}
{'text': 'i so i believe that we grant things more', 'start': 77.92, 'duration': 4.559}
{'text': 'consideration when they have', 'start': 81.6, 'duration': 1.92}
{'text': 'consciousness', 'start': 82.479, 'duration': 3.521}
{'text': 'it seems to be intuitively correct we', 'start': 83.52, 'duration': 3.52}
{'text': 'stop valuing things when they lose', 'start': 86.0, 'duration': 2.4}
{'text': 'consciousness we value things when they', 'start': 87.04, 'duration': 2.56}
{'text': 'have consciousness', 'start': 88.4, 'duration': 4.0}
{'text': 'um and the uh trying to value it at any', 'start': 89.6, 'duration': 4.08}
{'text': 'particular point like the development of', 'start': 92.4, 'duration': 2.64}
{'text': 'human seems arbitrated me so', 'start': 93.68, 'duration': 3.6}
{'text': 'i tend to reject those definitions um', 'start': 95.04, 'duration': 3.92}
{'text': "and i imagine that's probably the", 'start': 97.28, 'duration': 4.0}
{'text': "um that's probably what we'll argue", 'start': 98.96, 'duration': 4.0}
{'text': 'about in here yeah', 'start': 101.28, 'duration': 4.159}
{'text': 'yeah um so i guess this kind of leads to', 'start': 102.96, 'duration': 3.92}
{'text': 'like my redux seal', 'start': 105.439, 'duration': 4.561}
{'text': "um so if a baby was born let's say", 'start': 106.88, 'duration': 5.12}
{'text': 'um into sleep but did not had all the', 'start': 110.0, 'duration': 4.079}
{'text': 'properties of first trimester baby', 'start': 112.0, 'duration': 3.68}
{'text': 'which i can your since would not you', 'start': 114.079, 'duration': 3.36}
{'text': 'know have consciousness i would argue', 'start': 115.68, 'duration': 2.88}
{'text': "that they don't have it in the room at", 'start': 117.439, 'duration': 2.881}
{'text': 'all but kind of non-essential', 'start': 118.56, 'duration': 3.12}
{'text': 'by your standard would not have', 'start': 120.32, 'duration': 3.28}
{'text': 'consciousness until', 'start': 121.68, 'duration': 4.079}
{'text': 'after they are born for five months do', 'start': 123.6, 'duration': 3.92}
{'text': 'you think that it would be okay to kill', 'start': 125.759, 'duration': 5.361}
{'text': 'a newborn baby um okay so', 'start': 127.52, 'duration': 5.359}
{'text': 'on optics i reject some of the', 'start': 131.12, 'duration': 3.44}
{'text': 'terminology here because the newborn', 'start': 132.879, 'duration': 2.961}
{'text': "baby that you're describing", 'start': 134.56, 'duration': 3.12}
{'text': 'or the type of thing born here would be', 'start': 135.84, 'duration': 3.68}
{'text': 'alien to any other type of newborn baby', 'start': 137.68, 'duration': 3.12}
{'text': "that's ever been described", 'start': 139.52, 'duration': 2.88}
{'text': 'if there was something that could be', 'start': 140.8, 'duration': 3.04}
