{'text': 'okay so if you remember we look went', 'start': 0.06, 'duration': 3.899}
{'text': 'over the speed on my channel okay', 'start': 2.1, 'duration': 4.08}
{'text': "the CNN video about Joe Rogan's", 'start': 3.959, 'duration': 4.081}
{'text': 'Ivermectin stuff was', 'start': 6.18, 'duration': 4.98}
{'text': 'at the at the most charitable', 'start': 8.04, 'duration': 5.4}
{'text': 'it was the closest you can get to being', 'start': 11.16, 'duration': 4.2}
{'text': 'just completely flat out wrong as you', 'start': 13.44, 'duration': 5.64}
{'text': 'can be podcast host uh Joe Rogan uh he', 'start': 15.36, 'duration': 5.7}
{'text': 'came down with covet he says he says', 'start': 19.08, 'duration': 4.199}
{'text': "he's been taking the livestock dewormer", 'start': 21.06, 'duration': 5.16}
{'text': 'uh Ivermectin as well as other okay so', 'start': 23.279, 'duration': 5.221}
{'text': "he says it so it's dumb I've said this a", 'start': 26.22, 'duration': 4.44}
{'text': 'million times stop just stop calling it', 'start': 28.5, 'duration': 3.599}
{'text': "a horse dewormer it's stupid it makes", 'start': 30.66, 'duration': 2.76}
{'text': "you look dumb don't say it it's just", 'start': 32.099, 'duration': 4.081}
{'text': 'dumb to say that uh describing it as', 'start': 33.42, 'duration': 4.92}
{'text': 'like an uh like an anti-parasitic is', 'start': 36.18, 'duration': 4.02}
{'text': 'more accurate in fact you should call', 'start': 38.34, 'duration': 2.82}
{'text': "out that hoisting where we're talking", 'start': 40.2, 'duration': 2.519}
{'text': 'about so conservatives are using to', 'start': 41.16, 'duration': 3.54}
{'text': 'their benefit yeah maybe but somebody', 'start': 42.719, 'duration': 3.241}
{'text': "already said look that Train's kind of", 'start': 44.7, 'duration': 2.879}
{'text': 'left the building because like', 'start': 45.96, 'duration': 3.24}
{'text': 'um left Laney people like hardcore', 'start': 47.579, 'duration': 3.3}
{'text': 'jumped all over that horse dewormer [\xa0__\xa0]', 'start': 49.2, 'duration': 3.12}
{'text': "if I'm being Ultra charitable to", 'start': 50.879, 'duration': 3.241}
{'text': 'left-leaning people or to CNN or', 'start': 52.32, 'duration': 3.78}
{'text': 'whatever now there were people that were', 'start': 54.12, 'duration': 3.84}
{'text': 'actually going to stores and buying like', 'start': 56.1, 'duration': 4.38}
{'text': 'the livestock dewormer versions which is', 'start': 57.96, 'duration': 4.079}
{'text': 'bad but', 'start': 60.48, 'duration': 3.48}
{'text': "the only reason why I didn't say it was", 'start': 62.039, 'duration': 3.421}
{'text': 'just completely wrong is because at the', 'start': 63.96, 'duration': 3.659}
{'text': 'very least they had an expert lady come', 'start': 65.46, 'duration': 4.199}
{'text': 'in at the end and she said like Ivor', 'start': 67.619, 'duration': 4.141}
{'text': "macdon is an anti-parasitic drug that's", 'start': 69.659, 'duration': 3.541}
{'text': 'been given humans blah blah blah at the', 'start': 71.76, 'duration': 4.26}
{'text': 'very least that was the case okay so', 'start': 73.2, 'duration': 3.779}
{'text': 'what I was going to say at the end of', 'start': 76.02, 'duration': 3.36}
{'text': "this is they haven't even said yet that", 'start': 76.979, 'duration': 4.201}
{'text': "Ivermectin is used in humans we've got", 'start': 79.38, 'duration': 3.0}
{'text': 'three and a half minutes into this the', 'start': 81.18, 'duration': 3.0}
{'text': "CNN segment I didn't even know the ivory", 'start': 82.38, 'duration': 3.419}
{'text': 'Rector was a human drug this whole time', 'start': 84.18, 'duration': 2.939}
{'text': 'it sounds like something exclusively', 'start': 85.799, 'duration': 3.661}
{'text': 'used in livestock right so finally we', 'start': 87.119, 'duration': 3.54}
{'text': 'get to the point where they say like hey', 'start': 89.46, 'duration': 2.64}
{'text': 'this actually is used as an', 'start': 90.659, 'duration': 4.561}
{'text': 'anti-parasitic drug right', 'start': 92.1, 'duration': 4.8}
{'text': 'especially because people are using', 'start': 95.22, 'duration': 3.18}
{'text': 'doses that are totally inappropriate I', 'start': 96.9, 'duration': 3.0}
{'text': 'mean Ivermectin is used in humans for', 'start': 98.4, 'duration': 3.359}
{'text': 'things like parasites and scabies but', 'start': 99.9, 'duration': 3.66}
{'text': 'those are at low doses when people are', 'start': 101.759, 'duration': 3.301}
{'text': 'taking them in the very high doses as', 'start': 103.56, 'duration': 3.12}
{'text': 'given for livestock for horses for', 'start': 105.06, 'duration': 3.599}
{'text': 'example then they could get nauseating', 'start': 106.68, 'duration': 5.7}
{'text': 'diarrhea okay so her section in its', 'start': 108.659, 'duration': 5.82}
{'text': 'entirety in its on its own I think is', 'start': 112.38, 'duration': 3.66}
{'text': 'okay because she seems to mention that', 'start': 114.479, 'duration': 3.6}
{'text': 'but coming off the two of these people I', 'start': 116.04, 'duration': 3.42}
{'text': 'think that we need to clarify', 'start': 118.079, 'duration': 2.701}
{'text': "immediately that this isn't just like a", 'start': 119.46, 'duration': 3.36}
{'text': 'livestock medication but your skin rash', 'start': 120.78, 'duration': 3.42}
{'text': 'extremely low blood pressure and', 'start': 122.82, 'duration': 3.119}
{'text': 'permanent liver damage you could also', 'start': 124.2, 'duration': 3.779}
{'text': 'die from overdoses of ivermectin and I', 'start': 125.939, 'duration': 3.6}
{'text': 'hope that people realize this and heed', 'start': 127.979, 'duration': 2.821}
{'text': 'the advice of Public Health experts', 'start': 129.539, 'duration': 3.001}
{'text': 'rather than Joe Rogan Dr LeeAnn Brown', 'start': 130.8, 'duration': 3.18}
{'text': 'okay', 'start': 132.54, 'duration': 2.76}
{'text': 'um', 'start': 133.98, 'duration': 3.18}
{'text': 'when people ask like is is', 'start': 135.3, 'duration': 3.54}
{'text': "misinformation like a big deal I'm just", 'start': 137.16, 'duration': 3.42}
{'text': 'saying like when you when you if you', 'start': 138.84, 'duration': 3.42}
{'text': 'come to this and you already know a', 'start': 140.58, 'duration': 3.78}
{'text': "little bit about what's being said and", 'start': 142.26, 'duration': 3.6}
{'text': "you're getting this like oh this horse", 'start': 144.36, 'duration': 3.599}
{'text': 'dewormer that no way to ever treat or', 'start': 145.86, 'duration': 3.54}
{'text': "blah blah it's like okay well this isn't", 'start': 147.959, 'duration': 2.941}
{'text': 'really that true right like it feels', 'start': 149.4, 'duration': 3.6}
{'text': "like we're being yeah let's go all the", 'start': 150.9, 'duration': 3.3}
{'text': 'way back to this so Joe Rogan does have', 'start': 153.0, 'duration': 2.519}
{'text': "a point here that CNN's like", 'start': 154.2, 'duration': 2.64}
{'text': 'categorization of it as a horse deworm', 'start': 155.519, 'duration': 3.781}
{'text': 'is pretty dumb what a dog [\xa0__\xa0] video or', 'start': 156.84, 'duration': 6.08}
{'text': 'segment that CNN ran on that', 'start': 159.3, 'duration': 3.62}
{'text': 'so so For You Joe Rogan yes I would say', 'start': 163.16, 'duration': 6.4}
{'text': "you've had it yes so now get one shot of", 'start': 167.459, 'duration': 4.321}
{'text': 'the vaccine no why not because I have', 'start': 169.56, 'duration': 4.74}
{'text': 'better immunity than I would if I was', 'start': 171.78, 'duration': 5.7}
{'text': 'vaccinated okay you get both like you', 'start': 174.3, 'duration': 5.34}
{'text': 'can get even better right like', 'start': 177.48, 'duration': 4.14}
{'text': "but whatever okay I'll just listen to", 'start': 179.64, 'duration': 4.08}
{'text': 'this oh why not because I have better', 'start': 181.62, 'duration': 4.32}
{'text': 'immunity than I would if I was', 'start': 183.72, 'duration': 4.799}
{'text': 'vaccinated we so right yeah I think your', 'start': 185.94, 'duration': 4.62}
{'text': "immunity is really good so why if I've", 'start': 188.519, 'duration': 3.72}
{'text': 'already gone through covid and I was', 'start': 190.56, 'duration': 4.44}
{'text': 'really only sick for a day and then five', 'start': 192.239, 'duration': 5.58}
{'text': 'days later I was negative and I do have', 'start': 195.0, 'duration': 5.04}
{'text': 'the natural antibodies is that even true', 'start': 197.819, 'duration': 5.521}
{'text': 'my understanding is that right now that', 'start': 200.04, 'duration': 5.16}
{'text': "it's thought to be true that natural", 'start': 203.34, 'duration': 4.259}
{'text': "immunity is probably better but they're", 'start': 205.2, 'duration': 3.959}
{'text': 'still researching it because your', 'start': 207.599, 'duration': 3.481}
{'text': 'natural immunity might be falling off or', 'start': 209.159, 'duration': 4.08}
{'text': 'Waning faster than the vaccines but I', 'start': 211.08, 'duration': 4.2}
{'text': 'think all of this is still like up in', 'start': 213.239, 'duration': 3.42}
{'text': "the air right now I don't think we know", 'start': 215.28, 'duration': 2.819}
{'text': '100', 'start': 216.659, 'duration': 3.541}
{'text': 'um theoretically natural immunity should', 'start': 218.099, 'duration': 4.14}
{'text': "be better because you're identifying", 'start': 220.2, 'duration': 4.619}
{'text': 'more segments more unique proteins', 'start': 222.239, 'duration': 4.201}
{'text': "there's like 24 25 of them or whatever", 'start': 224.819, 'duration': 2.881}
