{'text': "I am never going to vote you're on a", 'start': 0.02, 'duration': 5.319}
{'text': 'cloud right now we lost the right we', 'start': 2.94, 'duration': 4.26}
{'text': 'lost the federally protected right to', 'start': 5.339, 'duration': 3.781}
{'text': 'have an abortion because Trump was', 'start': 7.2, 'duration': 3.54}
{'text': "President it's great that it doesn't", 'start': 9.12, 'duration': 3.479}
{'text': "affect you and you don't care but like", 'start': 10.74, 'duration': 3.54}
{'text': "bro you can't just say an opinion I", 'start': 12.599, 'duration': 3.421}
{'text': "can't have it your opinion is wrong when", 'start': 14.28, 'duration': 3.36}
{'text': "you say nothing changed you're wrong", 'start': 16.02, 'duration': 3.06}
{'text': "that's not an opinion that's a statement", 'start': 17.64, 'duration': 4.559}
{'text': "change I said it's gonna be okay okay", 'start': 19.08, 'duration': 5.279}
{'text': 'for who if you let women and you live in', 'start': 22.199, 'duration': 3.301}
{'text': "a state and you get pregnant you don't", 'start': 24.359, 'duration': 2.521}
{'text': "have access to an abortion now it's not", 'start': 25.5, 'duration': 3.9}
{'text': "okay for you what do you mean that's why", 'start': 26.88, 'duration': 4.44}
{'text': 'you vote okay okay where the what the', 'start': 29.4, 'duration': 4.08}
{'text': ' is your voting at then hold up I', 'start': 31.32, 'duration': 3.419}
{'text': "guess you're not riding hard enough you", 'start': 33.48, 'duration': 3.18}
{'text': 'know because I think women deserve to', 'start': 34.739, 'duration': 3.241}
{'text': 'decide what happens with their body', 'start': 36.66, 'duration': 2.76}
{'text': "don't say no no no don't say that you", 'start': 37.98, 'duration': 2.52}
{'text': "don't give a what happens to women", 'start': 39.42, 'duration': 2.34}
{'text': "because you don't give a voting you're", 'start': 40.5, 'duration': 2.52}
{'text': "not allowed to say that you can't have", 'start': 41.76, 'duration': 3.9}
{'text': "an opinion on that no I can't so give my", 'start': 43.02, 'duration': 4.559}
{'text': 'support to women just because no no you', 'start': 45.66, 'duration': 3.239}
{'text': "don't have you don't support you don't", 'start': 47.579, 'duration': 2.521}
{'text': "care about what happened you don't care", 'start': 48.899, 'duration': 2.881}
{'text': "about abortion rights you've got it in", 'start': 50.1, 'duration': 3.66}
{'text': "the world doesn't matter okay you", 'start': 51.78, 'duration': 3.299}
{'text': "haven't lost your right to vote you", 'start': 53.76, 'duration': 2.58}
{'text': "didn't lose your right to vote don't act", 'start': 55.079, 'duration': 3.201}
{'text': "like you're a felon you're not a felon", 'start': 56.34, 'duration': 4.5}
{'text': "watching this you don't matter if", 'start': 58.28, 'duration': 4.24}
{'text': "Alba tells me I'm wrong right now I'll", 'start': 60.84, 'duration': 3.48}
{'text': 'shut up oh but am I wrong yeah you', 'start': 62.52, 'duration': 4.26}
