{'text': 'should that be made illegal to you', 'start': 0.0, 'duration': 3.319}
{'text': "because that's what you're saying", 'start': 1.439, 'duration': 4.101}
{'text': 'volunteering should be illegal so', 'start': 3.319, 'duration': 4.121}
{'text': 'racketeering for you is an Institutional', 'start': 5.54, 'duration': 3.099}
{'text': "Investor saying we're only going to", 'start': 7.44, 'duration': 2.579}
{'text': 'invest in these types of companies', 'start': 8.639, 'duration': 2.58}
{'text': "that's racketeering to you they", 'start': 10.019, 'duration': 3.0}
{'text': "shouldn't be allowed to do that", 'start': 11.219, 'duration': 3.96}
{'text': 'part of the problem is having rules no', 'start': 13.019, 'duration': 3.241}
{'text': "no don't bail them out I want to hear", 'start': 15.179, 'duration': 5.6}
{'text': 'the No No I say nothing I say nothing', 'start': 16.26, 'duration': 4.519}
{'text': 'no this is how I feel when people talk', 'start': 24.8, 'duration': 3.399}
{'text': "about Finance so they don't understand", 'start': 27.119, 'duration': 3.301}
{'text': "anything I think he's talking", 'start': 28.199, 'duration': 5.73}
{'text': '[Music]', 'start': 30.42, 'duration': 3.509}
{'text': '[Applause]', 'start': 35.27, 'duration': 3.689}
{'text': 'all right', 'start': 40.76, 'duration': 5.56}
{'text': 'internet Superstar destiny', 'start': 42.78, 'duration': 9.68}
{'text': '[Applause]', 'start': 46.32, 'duration': 9.12}
{'text': "and someone who I'm still waiting on him", 'start': 52.46, 'duration': 5.19}
{'text': 'to propose me a marriage to me', 'start': 55.44, 'duration': 3.01}
{'text': '[Music]', 'start': 57.65, 'duration': 2.589}
{'text': '[Applause]', 'start': 58.45, 'duration': 4.39}
{'text': 'all right', 'start': 60.239, 'duration': 2.601}
{'text': 'and our last dude of the day he is a', 'start': 65.7, 'duration': 5.34}
{'text': 'YouTuber with over a quarter million', 'start': 69.119, 'duration': 4.32}
{'text': "subscribers he's the host of low society", 'start': 71.04, 'duration': 6.06}
{'text': 'and author of custom reality and you he', 'start': 73.439, 'duration': 6.241}
{'text': "will debate you so hard he'll put you in", 'start': 77.1, 'duration': 7.22}
{'text': "a coffin it's Peter coffin", 'start': 79.68, 'duration': 4.64}
{'text': '[Applause]', 'start': 86.2, 'duration': 5.599}
{'text': 'he is admittedly be sick all right we', 'start': 88.34, 'duration': 6.22}
{'text': 'are going to talk about the great reset', 'start': 91.799, 'duration': 5.64}
{'text': 'so get ready is it a conspiracy theory', 'start': 94.56, 'duration': 4.379}
{'text': 'or is it something we should actually be', 'start': 97.439, 'duration': 2.82}
{'text': 'concerned about', 'start': 98.939, 'duration': 3.36}
{'text': 'um why do we care', 'start': 100.259, 'duration': 4.741}
{'text': 'um in June 2020 three months into the', 'start': 102.299, 'duration': 7.381}
{'text': 'pandemic at a meeting online Schwab said', 'start': 105.0, 'duration': 7.14}
{'text': 'this the world must act jointly and', 'start': 109.68, 'duration': 4.74}
{'text': 'swiftly to Revan all aspects of our', 'start': 112.14, 'duration': 4.14}
{'text': 'society so the economies from the', 'start': 114.42, 'duration': 4.14}
{'text': 'education and social contracts and', 'start': 116.28, 'duration': 4.439}
{'text': 'working conditions every country from', 'start': 118.56, 'duration': 4.019}
{'text': 'the United States China must participate', 'start': 120.719, 'duration': 5.4}
{'text': 'in every industry from oil gas Tech must', 'start': 122.579, 'duration': 6.3}
{'text': 'be transformed so this is the world', 'start': 126.119, 'duration': 5.281}
{'text': 'economic Forum let me uh start with your', 'start': 128.879, 'duration': 5.0}
{'text': 'mission statement again the Forum', 'start': 131.4, 'duration': 6.12}
{'text': 'engages in the foremost political', 'start': 133.879, 'duration': 6.641}
{'text': 'business cultural and other leaders to', 'start': 137.52, 'duration': 6.0}
{'text': 'society to shape Global Regional and', 'start': 140.52, 'duration': 5.939}
{'text': 'Industry agendas moral and intellectual', 'start': 143.52, 'duration': 4.68}
{'text': 'Integrity is at the heart of everything', 'start': 146.459, 'duration': 4.201}
{'text': 'we do our activities are shaped by', 'start': 148.2, 'duration': 4.86}
{'text': 'unique and institutional culture founded', 'start': 150.66, 'duration': 5.64}
{'text': 'on stakeholder Theory which asserts an', 'start': 153.06, 'duration': 4.92}
{'text': 'organization is accountable to all parts', 'start': 156.3, 'duration': 3.9}
{'text': 'of society we believe that progress', 'start': 157.98, 'duration': 4.38}
{'text': 'happens by bringing to be together from', 'start': 160.2, 'duration': 4.5}
{'text': 'all whites alive and drive them to', 'start': 162.36, 'duration': 4.28}
{'text': 'influence positive change', 'start': 164.7, 'duration': 4.86}
{'text': 'stakeholder Theory minor Theory I think', 'start': 166.64, 'duration': 7.12}
{'text': 'James tell us what stakeholder theory is', 'start': 169.56, 'duration': 6.08}
{'text': 'okay so', 'start': 173.76, 'duration': 4.86}
{'text': 'stakeholder is a interesting word so', 'start': 175.64, 'duration': 5.379}
{'text': 'obviously it sounds it kind of means', 'start': 178.62, 'duration': 4.14}
{'text': 'what it sounds like kind of the', 'start': 181.019, 'duration': 3.3}
{'text': 'stakeholder is somebody who has a stake', 'start': 182.76, 'duration': 3.72}
{'text': "in the outcome of something so if you're", 'start': 184.319, 'duration': 4.621}
{'text': "a parent of a kid in school you're a", 'start': 186.48, 'duration': 4.92}
{'text': "stakeholder in the school's ability to", 'start': 188.94, 'duration': 4.5}
{'text': 'do its education for your children if', 'start': 191.4, 'duration': 3.6}
{'text': "you're a child in the school you're a", 'start': 193.44, 'duration': 2.939}
{'text': 'stakeholder in some sense although', 'start': 195.0, 'duration': 3.84}
{'text': "you're a minor in the school and how", 'start': 196.379, 'duration': 4.101}
{'text': "it's run Etc", 'start': 198.84, 'duration': 4.14}
{'text': "that's the basic idea of what a", 'start': 200.48, 'duration': 4.3}
{'text': 'stakeholder is a stakeholder theory is', 'start': 202.98, 'duration': 3.0}
{'text': 'in fact something a little bit different', 'start': 204.78, 'duration': 2.94}
{'text': 'stakeholder Theory which is outlined by', 'start': 205.98, 'duration': 3.3}
{'text': 'class Schwab in his book stakeholder', 'start': 207.72, 'duration': 3.06}
{'text': 'capitalism', 'start': 209.28, 'duration': 3.3}
{'text': 'um which I think was his first major', 'start': 210.78, 'duration': 4.44}
{'text': 'book uh yeah I wanted this idea that', 'start': 212.58, 'duration': 4.56}
{'text': 'what you actually need to do is adjust', 'start': 215.22, 'duration': 4.079}
{'text': 'capitalism away from a model where', 'start': 217.14, 'duration': 3.36}
{'text': 'shareholders are the primary', 'start': 219.299, 'duration': 3.0}
{'text': 'determinants of the economic factors of', 'start': 220.5, 'duration': 4.08}
{'text': "the primary determinants of how we're", 'start': 222.299, 'duration': 4.02}
{'text': 'going to organize and do business and', 'start': 224.58, 'duration': 3.06}
{'text': "we're going to shift into one where", 'start': 226.319, 'duration': 4.021}
{'text': 'experts are going to be named as the', 'start': 227.64, 'duration': 4.86}
{'text': 'kind of Representative stakeholders say', 'start': 230.34, 'duration': 4.02}
{'text': "for issues like the climate so you're", 'start': 232.5, 'duration': 3.36}
{'text': 'going to have climate experts who are', 'start': 234.36, 'duration': 2.579}
{'text': 'going to become stakeholders who are', 'start': 235.86, 'duration': 3.36}
{'text': 'going to speak about uh speak on behalf', 'start': 236.939, 'duration': 3.481}
{'text': 'of the world', 'start': 239.22, 'duration': 4.2}
{'text': 'what the climate does to you what Exxon', 'start': 240.42, 'duration': 4.98}
{'text': 'Mobil does in their business practices', 'start': 243.42, 'duration': 4.2}
{'text': 'also though they kind of merge in', 'start': 245.4, 'duration': 4.74}
