{'text': "do it i'll freeze celebrity", 'start': 0.0, 'duration': 26.4}
{'text': '[Music]', 'start': 17.0, 'duration': 13.16}
{'text': "okay dan i'm ready go ahead", 'start': 26.4, 'duration': 6.72}
{'text': 'hold on one second before i do this okay', 'start': 30.16, 'duration': 5.36}
{'text': 'um', 'start': 33.12, 'duration': 2.4}
{'text': "um i'm chilling we're walking around", 'start': 36.559, 'duration': 5.921}
{'text': "a city small city and it's the winter", 'start': 39.6, 'duration': 3.2}
{'text': "i'm", 'start': 42.48, 'duration': 2.16}
{'text': 'going to the movies the movie theater', 'start': 42.8, 'duration': 3.36}
{'text': 'now and', 'start': 44.64, 'duration': 4.56}
{'text': "as a result as i'm watching the movie", 'start': 46.16, 'duration': 6.48}
{'text': "i have no shoes i'm sure there's a storm", 'start': 49.2, 'duration': 4.96}
{'text': "there's a storm i'm in the middle of my", 'start': 52.64, 'duration': 7.12}
{'text': 'story go ahead right no one cares', 'start': 54.16, 'duration': 7.12}
{'text': 'no sorry some of us like to have good', 'start': 59.76, 'duration': 3.04}
{'text': 'calms down unlike you who will just sit', 'start': 61.28, 'duration': 3.12}
{'text': 'there in war zone', 'start': 62.8, 'duration': 4.48}
{'text': "oh tell us your story yes please oh i'll", 'start': 64.4, 'duration': 5.92}
{'text': 'say jade wants to be here', 'start': 67.28, 'duration': 3.04}
{'text': "she's probably the only person he wants", 'start': 70.799, 'duration': 2.881}
{'text': 'to actually hear probably actually no', 'start': 72.0, 'duration': 3.52}
{'text': "i'm definitely not [\xa0__\xa0] good no no", 'start': 73.68, 'duration': 4.4}
{'text': 'mr moon ruined it no get mr moon to call', 'start': 75.52, 'duration': 3.52}
{'text': 'me king', 'start': 78.08, 'duration': 4.24}
{'text': "dan you are a king you're king you're", 'start': 79.04, 'duration': 6.88}
{'text': 'my king here i was in a in a small town', 'start': 82.32, 'duration': 4.64}
{'text': 'town slash city', 'start': 85.92, 'duration': 3.519}
{'text': 'small small size what are you laughing', 'start': 86.96, 'duration': 3.28}
{'text': 'at', 'start': 89.439, 'duration': 2.64}
{'text': "nothing nothing's funny you know what", 'start': 90.24, 'duration': 3.04}
{'text': "now i'm not telling you again", 'start': 92.079, 'duration': 3.68}
{'text': "no no no no no no i'm done now i'm done", 'start': 93.28, 'duration': 3.839}
