{'text': 'wait this person is live right now', 'start': 0.08, 'duration': 3.839}
{'text': 'talking about you and name dropped', 'start': 2.0, 'duration': 5.359}
{'text': 'you multiple times oh hey by the way', 'start': 3.919, 'duration': 4.961}
{'text': 'real quick hey if you guys ever go to', 'start': 7.359, 'duration': 3.041}
{'text': "other people's chats and harass them on", 'start': 8.88, 'duration': 2.4}
{'text': 'my behalf', 'start': 10.4, 'duration': 3.92}
{'text': 'you get permabanned on all of my chats', 'start': 11.28, 'duration': 4.399}
{'text': 'just as a heads up in case you guys', 'start': 14.32, 'duration': 2.48}
{'text': "didn't know that", 'start': 15.679, 'duration': 2.321}
{'text': 'you misread the child logic thing on', 'start': 16.8, 'duration': 2.479}
{'text': 'youtube video i could provide time snap', 'start': 18.0, 'duration': 2.4}
{'text': 'misread what vexing', 'start': 19.279, 'duration': 2.321}
{'text': 'just say what i miss right you ignored', 'start': 20.4, 'duration': 2.32}
{'text': 'the part where he acknowledged the fact', 'start': 21.6, 'duration': 2.56}
{'text': 'that she is under age indicating that', 'start': 22.72, 'duration': 2.559}
{'text': 'she has told him', 'start': 24.16, 'duration': 4.32}
{'text': 'in this screenshot that she is of', 'start': 25.279, 'duration': 3.201}
{'text': 'underage', 'start': 28.84, 'duration': 5.0}
{'text': 'oh this screenshot got awkward much well', 'start': 30.0, 'duration': 4.88}
{'text': "it's just inappropriate for me to flirt", 'start': 33.84, 'duration': 2.16}
{'text': "with someone who's underage or even", 'start': 34.88, 'duration': 2.48}
{'text': "young like 18. it's supposed to be happy", 'start': 36.0, 'duration': 1.92}
{'text': 'plus seven', 'start': 37.36, 'duration': 1.84}
{'text': "sorry i don't know i'm awkward don't be", 'start': 37.92, 'duration': 2.56}
{'text': 'are you awkward about talking to me like', 'start': 39.2, 'duration': 1.84}
{'text': 'this', 'start': 40.48, 'duration': 2.56}
{'text': "if you don't like it you can say is cool", 'start': 41.04, 'duration': 3.76}
{'text': "don't be sorry you're good so in this", 'start': 43.04, 'duration': 2.8}
{'text': "screenshot it's hard to tell what's", 'start': 44.8, 'duration': 2.4}
{'text': 'going on but it kind of looks like', 'start': 45.84, 'duration': 3.92}
{'text': "maybe he knows she's 17 you don't know", 'start': 47.2, 'duration': 3.999}
{'text': "that from reading this but it's", 'start': 49.76, 'duration': 4.799}
{'text': 'possible but she', 'start': 51.199, 'duration': 6.241}
{'text': 'cut this off at the most disingenuous', 'start': 54.559, 'duration': 4.48}
{'text': '[\xa0__\xa0] point', 'start': 57.44, 'duration': 3.04}
{'text': 'ella well okay so serious question how', 'start': 59.039, 'duration': 2.401}
{'text': "old are you if you don't mind me asking", 'start': 60.48, 'duration': 1.68}
{'text': 'why do you ask', 'start': 61.44, 'duration': 1.84}
{'text': "i don't know i guess it's good to know", 'start': 62.16, 'duration': 2.319}
{'text': "for chatting if you don't want to tell", 'start': 63.28, 'duration': 2.879}
{'text': "me that's cool i'm 33 old boomers she", 'start': 64.479, 'duration': 2.96}
{'text': "says boomer yep that's me", 'start': 66.159, 'duration': 2.64}
{'text': "i'm legal so you won't get in trouble if", 'start': 67.439, 'duration': 3.36}
{'text': "that's what you're wondering hello sorry", 'start': 68.799, 'duration': 3.601}
{'text': "to ask haha that's who else", 'start': 70.799, 'duration': 2.801}
{'text': "god awkward much well it's just", 'start': 72.4, 'duration': 2.24}
{'text': 'inappropriate flirting with someone', 'start': 73.6, 'duration': 2.8}
{'text': "who's underage or even young like 18.", 'start': 74.64, 'duration': 3.119}
{'text': "it's supposed to be halfway plus seven", 'start': 76.4, 'duration': 3.12}
{'text': "sorry i don't know sorry i'm awkward", 'start': 77.759, 'duration': 2.321}
{'text': "don't be", 'start': 79.52, 'duration': 1.919}
{'text': 'um are you awkward about talking you', 'start': 80.08, 'duration': 2.56}
{'text': "like this if you don't like it you can", 'start': 81.439, 'duration': 3.281}
