{'text': "i don't know well isn't that pretty", 'start': 1.599, 'duration': 2.161}
{'text': 'important', 'start': 3.12, 'duration': 1.84}
{'text': 'because if you want to tell me that', 'start': 3.76, 'duration': 3.2}
{'text': "there was a genocide in canada i'd", 'start': 4.96, 'duration': 3.679}
{'text': 'probably believe that there is probably', 'start': 6.96, 'duration': 3.759}
{'text': 'a genocide in almost every country', 'start': 8.639, 'duration': 3.92}
{'text': 'related to the indigenous populations', 'start': 10.719, 'duration': 3.281}
{'text': 'and then hopefully the system will begin', 'start': 12.559, 'duration': 3.841}
{'text': 'to reorient itself in order to alleviate', 'start': 14.0, 'duration': 3.52}
{'text': 'the concerns of the indigenous', 'start': 16.4, 'duration': 2.0}
{'text': 'populations', 'start': 17.52, 'duration': 2.64}
{'text': "if there wasn't like this explicit", 'start': 18.4, 'duration': 3.12}
{'text': 'intentional genocide occurring', 'start': 20.16, 'duration': 3.359}
{'text': 'okay we have a whole bunch of systemic', 'start': 21.52, 'duration': 3.519}
{'text': 'issues we need to come together we need', 'start': 23.519, 'duration': 3.041}
{'text': 'to figure out different ways to approach', 'start': 25.039, 'duration': 2.721}
{'text': 'and solve these problems because what', 'start': 26.56, 'duration': 3.039}
{'text': "we're doing right now isn't working", 'start': 27.76, 'duration': 3.2}
{'text': 'the way you would address the problems', 'start': 29.599, 'duration': 3.281}
{'text': 'in each country is wholly different', 'start': 30.96, 'duration': 3.68}
{'text': 'apply some more things than just the', 'start': 32.88, 'duration': 3.44}
{'text': 'jews in world war ii', 'start': 34.64, 'duration': 6.96}
{'text': 'like you hello', 'start': 36.32, 'duration': 6.559}
{'text': 'all right why do you think there is', 'start': 41.6, 'duration': 3.2}
{'text': 'currently right now today an ongoing', 'start': 42.879, 'duration': 3.2}
{'text': 'genocide', 'start': 44.8, 'duration': 4.4}
{'text': 'against indigenous peoples in canada', 'start': 46.079, 'duration': 6.8}
{'text': "because it's systemic it's", 'start': 49.2, 'duration': 6.48}
{'text': 'it seems like i know that um you as an', 'start': 52.879, 'duration': 3.52}
{'text': 'american', 'start': 55.68, 'duration': 2.719}
{'text': 'um you probably understand systemic', 'start': 56.399, 'duration': 3.041}
{'text': 'racism', 'start': 58.399, 'duration': 4.32}
{'text': 'dealing with black people', 'start': 59.44, 'duration': 6.4}
{'text': 'right in the u.s', 'start': 62.719, 'duration': 3.121}
{'text': "it's way worse statistically", 'start': 66.08, 'duration': 7.359}
{'text': 'and by do you think is systemic racism', 'start': 70.159, 'duration': 6.881}
