{'text': "i believe it's child abuse what is the", 'start': 0.08, 'duration': 4.12}
{'text': 'experience of some', 'start': 1.92, 'duration': 5.839}
{'text': 'african-american family in america today', 'start': 4.2, 'duration': 5.8}
{'text': 'that are the descendants of slaves what', 'start': 7.759, 'duration': 4.321}
{'text': 'is their experience destiny you tell me', 'start': 10.0, 'duration': 3.679}
{'text': "there's typically a shared experience of", 'start': 12.08, 'duration': 3.679}
{'text': 'not knowing what your ethnic origin is', 'start': 13.679, 'duration': 3.281}
{'text': 'so for instance when everybody is', 'start': 15.759, 'duration': 3.36}
{'text': "selling celebrating saint patty's day or", 'start': 16.96, 'duration': 3.84}
{'text': "whatever thing else black people don't", 'start': 19.119, 'duration': 2.881}
{'text': 'really have the ability to do that', 'start': 20.8, 'duration': 2.16}
{'text': "because often times they don't know", 'start': 22.0, 'duration': 2.72}
{'text': "where they came from sometimes it's", 'start': 22.96, 'duration': 3.04}
{'text': 'really awkward conversations where', 'start': 24.72, 'duration': 2.479}
{'text': "you're tracing your lineage and you're", 'start': 26.0, 'duration': 2.32}
{'text': 'wondering why your last name is', 'start': 27.199, 'duration': 2.48}
{'text': 'washington or jefferson and you found', 'start': 28.32, 'duration': 2.48}
{'text': "out it's because your great great great", 'start': 29.679, 'duration': 2.481}
{'text': 'grandma was raped by the person that', 'start': 30.8, 'duration': 3.279}
{'text': 'owned your particular family um', 'start': 32.16, 'duration': 3.28}
{'text': 'sometimes it might be conversations', 'start': 34.079, 'duration': 2.32}
{'text': 'about like well why do we live in a', 'start': 35.44, 'duration': 2.799}
{'text': 'certain area or why does our family you', 'start': 36.399, 'duration': 3.201}
{'text': 'know not have any intergenerational', 'start': 38.239, 'duration': 2.64}
{'text': "wealth why don't we own any property why", 'start': 39.6, 'duration': 2.24}
{'text': "don't we have any houses why don't we", 'start': 40.879, 'duration': 2.321}
{'text': "own any stocks why didn't i get anything", 'start': 41.84, 'duration': 2.719}
{'text': 'from my great great grandpa well because', 'start': 43.2, 'duration': 2.879}
{'text': 'he was either somebody that was forbade', 'start': 44.559, 'duration': 3.361}
{'text': 'from buying houses in certain areas or', 'start': 46.079, 'duration': 3.361}
{'text': 'with somebody who was lynched by a white', 'start': 47.92, 'duration': 2.639}
{'text': "fan like there's a ton of different", 'start': 49.44, 'duration': 3.04}
{'text': 'things that might be shared history to', 'start': 50.559, 'duration': 3.121}
{'text': 'african americans meaning the', 'start': 52.48, 'duration': 2.64}
{'text': 'descendants of slaves in the united', 'start': 53.68, 'duration': 2.719}
{'text': "states now that's not to say that", 'start': 55.12, 'duration': 2.88}
{'text': "slavery didn't happen in other parts of", 'start': 56.399, 'duration': 3.201}
{'text': 'the world but to try to screech and', 'start': 58.0, 'duration': 2.719}
{'text': "scream well we can't talk about that", 'start': 59.6, 'duration': 2.4}
{'text': 'because arabs had a slave trade that', 'start': 60.719, 'duration': 3.44}
{'text': 'lasted for 1300 years kind of misses the', 'start': 62.0, 'duration': 3.76}
{'text': 'mark on why we talk about slavery in the', 'start': 64.159, 'duration': 3.681}
{'text': 'united states just sad is the most', 'start': 65.76, 'duration': 4.399}
{'text': 'disingenuous thing i have ever heard in', 'start': 67.84, 'duration': 5.2}
{'text': 'my life tell me why mark because the', 'start': 70.159, 'duration': 5.28}
{'text': 'descendants the descendants of those', 'start': 73.04, 'duration': 4.0}
{'text': "slaves today they're the lucky ones", 'start': 75.439, 'duration': 3.04}
{'text': "would you say that's one of the lucky", 'start': 77.04, 'duration': 3.2}
{'text': 'ones can you answer that question no', 'start': 78.479, 'duration': 3.361}
{'text': 'firstly', 'start': 80.24, 'duration': 4.16}
{'text': 'no you got it you have to engage', 'start': 81.84, 'duration': 4.8}
{'text': 'inside or the demographic replacement of', 'start': 84.4, 'duration': 3.759}
{'text': 'those of european descent is a', 'start': 86.64, 'duration': 4.08}
{'text': 'phenomenon that every western nation', 'start': 88.159, 'duration': 4.64}
{'text': 'faces originally those who spoke about', 'start': 90.72, 'duration': 4.48}
{'text': 'this topic were branded as a conspiracy', 'start': 92.799, 'duration': 4.881}
{'text': 'theorists however the reality of white', 'start': 95.2, 'duration': 4.16}
{'text': 'people becoming a minority in their', 'start': 97.68, 'duration': 3.759}
{'text': 'ancestral homelands is no longer', 'start': 99.36, 'duration': 4.32}
{'text': 'regarded in that manner now rather than', 'start': 101.439, 'duration': 4.481}
{'text': 'being called a conspiracy theory white', 'start': 103.68, 'duration': 4.479}
{'text': 'replacement is openly celebrated by the', 'start': 105.92, 'duration': 4.4}
{'text': 'establishment the media those in the', 'start': 108.159, 'duration': 4.081}
{'text': 'corporate sector those who control', 'start': 110.32, 'duration': 3.759}
{'text': 'social media and leading liberal', 'start': 112.24, 'duration': 4.8}
{'text': 'commentators white replacement is taking', 'start': 114.079, 'duration': 5.521}
{'text': 'place the only two issues up for debate', 'start': 117.04, 'duration': 4.64}
{'text': 'is whether this replacement is part of a', 'start': 119.6, 'duration': 4.64}
{'text': 'planned and concerted effort to reduce', 'start': 121.68, 'duration': 5.36}
{'text': 'white people to minorities and secondly', 'start': 124.24, 'duration': 5.12}
