{'text': 'there it is there we go oh yeah', 'start': 0.56, 'duration': 4.88}
{'text': '[Music]', 'start': 4.32, 'duration': 4.48}
{'text': "dan why don't you talk to peach dan says", 'start': 5.44, 'duration': 6.56}
{'text': "she's no fun and i said what do you mean", 'start': 8.8, 'duration': 9.12}
{'text': "and he's like did she already turn 21.", 'start': 12.0, 'duration': 5.92}
{'text': "oh my god here's some changes in your", 'start': 18.16, 'duration': 3.84}
{'text': 'legs look', 'start': 19.76, 'duration': 5.04}
{'text': 'this is not shameless shameless is what', 'start': 22.0, 'duration': 3.279}
{'text': 'you', 'start': 24.8, 'duration': 2.559}
{'text': "twitch streamers do i'd have to hype", 'start': 25.279, 'duration': 4.08}
{'text': 'this up like all the way up to here', 'start': 27.359, 'duration': 4.24}
{'text': "way back here i don't want to get you", 'start': 29.359, 'duration': 3.681}
{'text': 'banned elena can you show us a trick', 'start': 31.599, 'duration': 2.401}
{'text': 'with a thing', 'start': 33.04, 'duration': 4.32}
{'text': 'what trick with what thing with a thing', 'start': 34.0, 'duration': 5.36}
{'text': 'the thing where you push your dick in so', 'start': 37.36, 'duration': 3.28}
{'text': "far to your body because it's so small", 'start': 39.36, 'duration': 2.64}
{'text': 'that it looks like a komodo dragon', 'start': 40.64, 'duration': 4.48}
{'text': 'yeah exactly okay', 'start': 42.0, 'duration': 6.079}
{'text': "hey what's that guy's name who got", 'start': 45.12, 'duration': 3.919}
{'text': 'cancelled or whatever', 'start': 48.079, 'duration': 4.241}
{'text': "who was a magician wasn't there a", 'start': 49.039, 'duration': 5.441}
{'text': 'magician that got canceled on twitch', 'start': 52.32, 'duration': 5.04}
{'text': 'really oh albert yeah that guy hey yo', 'start': 54.48, 'duration': 4.879}
{'text': "what's up albert 2.0 coming at you", 'start': 57.36, 'duration': 3.039}
{'text': 'all right you want to see some real', 'start': 59.359, 'duration': 3.441}
{'text': 'magic look look what we got here', 'start': 60.399, 'duration': 5.201}
{'text': 'two horseshoes albert 2.0 do we need to', 'start': 62.8, 'duration': 3.84}
{'text': 'talk to your wife', 'start': 65.6, 'duration': 3.12}
{'text': 'you know why you canceled wait never', 'start': 66.64, 'duration': 5.76}
{'text': 'mind we got two uh', 'start': 68.72, 'duration': 6.24}
{'text': 'horseshoes connected by chains you see', 'start': 72.4, 'duration': 3.6}
{'text': 'and inside', 'start': 74.96, 'duration': 3.36}
{'text': "there's a ring connected it can't escape", 'start': 76.0, 'duration': 4.4}
{'text': 'how could it possibly escape', 'start': 78.32, 'duration': 5.28}
{'text': "look it's not possible it isn't", 'start': 80.4, 'duration': 6.56}
{'text': 'but watch', 'start': 83.6, 'duration': 7.6}
{'text': 'off screen as i oh my', 'start': 86.96, 'duration': 7.68}
{'text': 'god how did i do it wizard', 'start': 91.2, 'duration': 6.48}
{'text': "yeah that's right no that's on there", 'start': 94.64, 'duration': 6.72}
{'text': "okay yeah that's right", 'start': 97.68, 'duration': 5.759}
