{'text': "they've created a pathological fear of a", 'start': 0.08, 'duration': 5.279}
{'text': 'virus that should not be feared at this', 'start': 2.48, 'duration': 3.76}
{'text': 'point', 'start': 5.359, 'duration': 3.2}
{'text': 'by pretty much anybody other than people', 'start': 6.24, 'duration': 3.52}
{'text': 'who are uniquely compromised', 'start': 8.559, 'duration': 3.841}
{'text': 'immunocompromised or very very elderly', 'start': 9.76, 'duration': 5.52}
{'text': 'now that the vaccines are available', 'start': 12.4, 'duration': 5.04}
{'text': "weird it's over okay if the vaccines are", 'start': 15.28, 'duration': 3.04}
{'text': 'available and you choose to get a', 'start': 17.44, 'duration': 1.919}
{'text': "vaccine you shouldn't be worried if you", 'start': 18.32, 'duration': 2.24}
{'text': "choose not to get a vaccine you're", 'start': 19.359, 'duration': 2.481}
{'text': 'probably not getting vaccinated because', 'start': 20.56, 'duration': 3.04}
{'text': "you're not particularly worried", 'start': 21.84, 'duration': 3.84}
{'text': "okay so we're done but for a certain", 'start': 23.6, 'duration': 4.24}
{'text': 'segment of the population', 'start': 25.68, 'duration': 3.919}
{'text': 'the paranoia has set in and the paranoia', 'start': 27.84, 'duration': 3.12}
{'text': 'will not leave and so you will get more', 'start': 29.599, 'duration': 3.841}
{'text': "mandates why i don't know i just wish", 'start': 30.96, 'duration': 3.84}
{'text': 'if you want to be like right leaning and', 'start': 33.44, 'duration': 3.2}
{'text': 'not sounding a dumb like engage with the', 'start': 34.8, 'duration': 3.84}
{'text': 'broader talking points right engage with', 'start': 36.64, 'duration': 3.68}
{'text': "the fact that like we can't have", 'start': 38.64, 'duration': 2.88}
{'text': 'millions of people getting sick', 'start': 40.32, 'duration': 2.559}
{'text': 'simultaneously because our healthcare', 'start': 41.52, 'duration': 2.64}
{'text': "system can't handle it that's just not", 'start': 42.879, 'duration': 2.321}
{'text': 'how these health care systems are built', 'start': 44.16, 'duration': 2.96}
{'text': 'like why not engage with the more like', 'start': 45.2, 'duration': 3.28}
{'text': 'reasonable arguments rather than just', 'start': 47.12, 'duration': 3.52}
{'text': 'like well only one percent will die', 'start': 48.48, 'duration': 3.84}
{'text': "you'll get more attempts to cram down", 'start': 50.64, 'duration': 3.36}
{'text': 'more attempts to control even though you', 'start': 52.32, 'duration': 2.879}
{'text': 'now have the government openly admitting', 'start': 54.0, 'duration': 2.16}
{'text': "you're not gonna be able to eradicate", 'start': 55.199, 'duration': 2.88}
{'text': "this virus so then what's the purpose to", 'start': 56.16, 'duration': 4.0}
{'text': "mark cuban he says that he's going to", 'start': 58.079, 'duration': 4.561}
{'text': 'force his employees to be vaccinated if', 'start': 60.16, 'duration': 4.399}
{'text': 'you work for me i require my my', 'start': 62.64, 'duration': 4.24}
{'text': 'employees to be vaccinated um unless', 'start': 64.559, 'duration': 3.92}
{'text': "there's a doctor's reason where they", 'start': 66.88, 'duration': 4.64}
{'text': "can't be you know like you i don't want", 'start': 68.479, 'duration': 5.361}
{'text': 'my kids to be at risk so you know the', 'start': 71.52, 'duration': 4.88}
{'text': 'consequences of you not being vaccinated', 'start': 73.84, 'duration': 4.639}
{'text': "is i'm not going to shut the [\xa0__\xa0] up i'm", 'start': 76.4, 'duration': 3.92}
{'text': 'going to be in your mother here driving', 'start': 78.479, 'duration': 3.841}
{'text': 'you mother crazy', 'start': 80.32, 'duration': 4.56}
{'text': 'what a hero want to hear okay okay then', 'start': 82.32, 'duration': 5.04}
{'text': 'uh all right', 'start': 84.88, 'duration': 3.44}
{'text': 'all right', 'start': 87.36, 'duration': 2.32}
{'text': 'this is a way i just want to play video', 'start': 88.32, 'duration': 2.96}
{'text': 'games', 'start': 89.68, 'duration': 3.28}
{'text': 'ben shapiro should have no problem with', 'start': 91.28, 'duration': 3.6}
{'text': 'this okay mark cuban is a private', 'start': 92.96, 'duration': 2.96}
{'text': 'business owner if a private business', 'start': 94.88, 'duration': 2.879}
{'text': 'owner wants to regulate this okay you', 'start': 95.92, 'duration': 3.36}
{'text': 'you celebrate and champion the [\xa0__\xa0] out', 'start': 97.759, 'duration': 2.4}
{'text': 'of private business probably if you', 'start': 99.28, 'duration': 1.92}
{'text': "don't like it go work somewhere else", 'start': 100.159, 'duration': 2.801}
{'text': 'this is your talking point okay you', 'start': 101.2, 'duration': 3.199}
{'text': "can't get mad at some business owners", 'start': 102.96, 'duration': 3.119}
{'text': "saying he's gonna force his employees to", 'start': 104.399, 'duration': 3.601}
{'text': 'get vaccinated because your answer is', 'start': 106.079, 'duration': 3.121}
{'text': 'well the free market should solve for', 'start': 108.0, 'duration': 2.72}
{'text': 'this someone else will make a job where', 'start': 109.2, 'duration': 2.879}
{'text': "you don't have to be vaccinated like why", 'start': 110.72, 'duration': 2.88}
{'text': "like that you shouldn't care at all", 'start': 112.079, 'duration': 2.881}
{'text': 'about this you should be celebrating', 'start': 113.6, 'duration': 3.6}
{'text': "mark cuban's right to to you know", 'start': 114.96, 'duration': 3.519}
{'text': 'regulate his workplace in a different', 'start': 117.2, 'duration': 2.48}
{'text': 'way and you just happen to disagree with', 'start': 118.479, 'duration': 2.64}
{'text': "it that's fine", 'start': 119.68, 'duration': 3.439}
{'text': 'one problem your kids are not at risk', 'start': 121.119, 'duration': 2.801}
{'text': 'mark', 'start': 123.119, 'duration': 2.561}
{'text': "your kids aren't at risk the total", 'start': 123.92, 'duration': 3.68}
{'text': 'number of children in the united states', 'start': 125.68, 'duration': 3.04}
{'text': 'who have died over the course of this', 'start': 127.6, 'duration': 3.84}
{'text': 'pandemic with covet 19 not just from', 'start': 128.72, 'duration': 5.68}
{'text': 'with is under 600', 'start': 131.44, 'duration': 4.64}
{'text': 'during that same time total number of', 'start': 134.4, 'duration': 3.76}
{'text': 'kids died from pneumonia closer to a', 'start': 136.08, 'duration': 3.76}
{'text': 'thousand', 'start': 138.16, 'duration': 3.2}
{'text': 'according to dr marty mccary from johns', 'start': 139.84, 'duration': 3.36}
{'text': 'hopkins university total number of kids', 'start': 141.36, 'duration': 4.16}
{'text': 'total in the united states who have died', 'start': 143.2, 'duration': 4.0}
{'text': 'from cover 19 without a significant', 'start': 145.52, 'duration': 3.2}
{'text': 'pre-existing condition is someone he', 'start': 147.2, 'duration': 2.72}
{'text': 'said this on the show last week is', 'start': 148.72, 'duration': 3.92}
{'text': 'somewhere between 10 and 20.', 'start': 149.92, 'duration': 4.399}
{'text': '10 and 20.', 'start': 152.64, 'duration': 4.0}
{'text': 'okay you also have to stop saying this', 'start': 154.319, 'duration': 4.321}
{'text': 'stop saying without a pre-existing', 'start': 156.64, 'duration': 5.2}
{'text': 'condition bro pre-existing condition for', 'start': 158.64, 'duration': 3.92}
{'text': 'for', 'start': 161.84, 'duration': 3.44}
{'text': 'um covered 19 can be obesity why do', 'start': 162.56, 'duration': 4.08}
{'text': 'people say like without pre-existing', 'start': 165.28, 'duration': 3.679}
{'text': "conditions like they're so rare okay", 'start': 166.64, 'duration': 4.48}
{'text': 'what percentage of america is obese', 'start': 168.959, 'duration': 5.601}
