{'text': 'you see one or two YouTube videos where', 'start': 0.979, 'duration': 4.541}
{'text': 'that happens and then like all of a', 'start': 3.48, 'duration': 3.48}
{'text': "sudden now that's like the norm like get", 'start': 5.52, 'duration': 2.94}
{'text': "out of here it's not one or two have you", 'start': 6.96, 'duration': 3.24}
{'text': 'even played video games before wait who', 'start': 8.46, 'duration': 3.24}
{'text': 'are you are you like that wait hold on', 'start': 10.2, 'duration': 3.24}
{'text': "you're okay okay you if you don't play", 'start': 11.7, 'duration': 3.42}
{'text': 'games why would you comment on it what', 'start': 13.44, 'duration': 3.839}
{'text': "no I do play you don't play game if you", 'start': 15.12, 'duration': 3.72}
{'text': "think that it's just one or two if you", 'start': 17.279, 'duration': 2.941}
{'text': "think it's just one or two YouTube", 'start': 18.84, 'duration': 3.54}
{'text': 'videos where women get fit for opening', 'start': 20.22, 'duration': 3.54}
{'text': "mics then you just don't play games", 'start': 22.38, 'duration': 3.899}
{'text': 'people on the left seem to want to blame', 'start': 23.76, 'duration': 4.38}
{'text': 'men for things in society and then', 'start': 26.279, 'duration': 3.0}
{'text': 'people on the right will sometimes blame', 'start': 28.14, 'duration': 2.639}
{'text': 'women for things in society but I see', 'start': 29.279, 'duration': 3.12}
{'text': 'these problems as like feeding into one', 'start': 30.779, 'duration': 3.421}
{'text': 'another this argument that like women in', 'start': 32.399, 'duration': 3.301}
{'text': "society suck they're all fat they're all", 'start': 34.2, 'duration': 3.12}
{'text': "on only fans it's horrible whatever but", 'start': 35.7, 'duration': 3.06}
{'text': 'then why does it work that way like men', 'start': 37.32, 'duration': 3.72}
{'text': 'are also fat and they buy pictures from', 'start': 38.76, 'duration': 4.02}
{'text': 'women only fans right they enable and', 'start': 41.04, 'duration': 3.24}
{'text': "empower the behavior I don't see this", 'start': 42.78, 'duration': 3.72}
{'text': 'huge stock of like good Trad con men', 'start': 44.28, 'duration': 3.779}
{'text': 'that are living their best lives and', 'start': 46.5, 'duration': 2.82}
{'text': "they're like living their best values", 'start': 48.059, 'duration': 2.641}
{'text': "and they just can't find women so it", 'start': 49.32, 'duration': 2.759}
{'text': "always seems like there's a whole bunch", 'start': 50.7, 'duration': 2.58}
{'text': 'of problems with Society but we all like', 'start': 52.079, 'duration': 2.46}
{'text': 'blame the other person instead of ever', 'start': 53.28, 'duration': 2.759}
{'text': 'like doing anything to like fix anything', 'start': 54.539, 'duration': 4.86}
{'text': 'else yeah I believe in systemic racism', 'start': 56.039, 'duration': 5.401}
{'text': 'toward Africa', 'start': 59.399, 'duration': 4.32}
{'text': 'um yeah to some extent sure', 'start': 61.44, 'duration': 4.44}
{'text': 'so would you ask a black man do you', 'start': 63.719, 'duration': 4.181}
{'text': 'bring enough to the day', 'start': 65.88, 'duration': 3.12}
{'text': '[Music]', 'start': 67.9, 'duration': 2.97}
{'text': 'in like your ideal situation', 'start': 69.0, 'duration': 3.06}
{'text': '[Music]', 'start': 70.87, 'duration': 3.59}
{'text': 'um because I think like inevitably in', 'start': 72.06, 'duration': 3.9}
{'text': "two-parent households there's going to", 'start': 74.46, 'duration': 4.38}
{'text': 'be some discussion of like okay so are', 'start': 75.96, 'duration': 5.519}
{'text': 'we gonna sacrifice career prospects for', 'start': 78.84, 'duration': 4.5}
{'text': 'more in time with the family or are we', 'start': 81.479, 'duration': 4.441}
{'text': 'gonna you know prioritize uh gaining', 'start': 83.34, 'duration': 4.5}
{'text': 'resources for the family what would be', 'start': 85.92, 'duration': 4.26}
{'text': 'like the ideal situation like a 50 50', 'start': 87.84, 'duration': 5.819}
{'text': 'split between both Partners or maybe', 'start': 90.18, 'duration': 5.82}
{'text': 'like just kind of based on their', 'start': 93.659, 'duration': 4.741}
{'text': 'conversations with each other you know', 'start': 96.0, 'duration': 4.2}
{'text': "I'll take on this burden you take on", 'start': 98.4, 'duration': 4.2}
{'text': 'this burden or something like that', 'start': 100.2, 'duration': 5.099}
{'text': "yeah I think it's just based on", 'start': 102.6, 'duration': 5.04}
{'text': "um the couple's instance right you", 'start': 105.299, 'duration': 4.801}
{'text': 'evaluate if maybe the woman is in a', 'start': 107.64, 'duration': 4.259}
{'text': "position where she's earning more then", 'start': 110.1, 'duration': 4.08}
{'text': 'the dad is the one that just stays at', 'start': 111.899, 'duration': 4.441}
{'text': 'home and we have like strong supports', 'start': 114.18, 'duration': 4.56}
{'text': 'for that situation so that maybe in the', 'start': 116.34, 'duration': 3.84}
{'text': "situations where the mom isn't earning", 'start': 118.74, 'duration': 4.14}
{'text': 'enough to support the three people then', 'start': 120.18, 'duration': 4.56}
{'text': "that's when like the social supports", 'start': 122.88, 'duration': 3.72}
{'text': 'kick in yeah I agree with that I agree', 'start': 124.74, 'duration': 4.68}
{'text': 'with NPR beardson up here yeah have you', 'start': 126.6, 'duration': 4.859}
{'text': 'guys seen uh that movie with', 'start': 129.42, 'duration': 3.84}
{'text': 'um I promise this is relevant', 'start': 131.459, 'duration': 4.261}
{'text': 'um who was it it was like Anne has the', 'start': 133.26, 'duration': 6.72}
{'text': 'way and uh and uh Robert De Niro called', 'start': 135.72, 'duration': 7.7}
{'text': 'The Intern you guys remember that', 'start': 139.98, 'duration': 3.44}
{'text': "that's like a really good movie", 'start': 144.98, 'duration': 5.56}
{'text': "basically uh there's girl boss who owns", 'start': 146.78, 'duration': 5.92}
{'text': 'this like Millennial company and her', 'start': 150.54, 'duration': 4.559}
{'text': 'husband cheats on her because she like', 'start': 152.7, 'duration': 5.46}
{'text': "doesn't be at home very often", 'start': 155.099, 'duration': 4.321}
{'text': 'um and this is like one of these', 'start': 158.16, 'duration': 2.939}
{'text': 'questions that I kind of have about the', 'start': 159.42, 'duration': 4.74}
{'text': "dynamic uh I can't imagine like a lot of", 'start': 161.099, 'duration': 6.72}
{'text': 'men being very satisfied maybe this is', 'start': 164.16, 'duration': 5.219}
{'text': "like my own personal bias but I can't", 'start': 167.819, 'duration': 2.941}
{'text': 'imagine a lot of men being very', 'start': 169.379, 'duration': 4.261}
{'text': 'satisfied being stay-at-home dads I know', 'start': 170.76, 'duration': 4.38}
{'text': 'of some like I have very close friends', 'start': 173.64, 'duration': 3.72}
{'text': 'that had stay-at-home dads but', 'start': 175.14, 'duration': 5.16}
{'text': "um I can't imagine that at least the", 'start': 177.36, 'duration': 4.799}
{'text': 'satisfaction being is equivalent to that', 'start': 180.3, 'duration': 3.96}
{'text': 'we perceive in women or maybe women just', 'start': 182.159, 'duration': 3.66}
{'text': "aren't satisfied with that either they", 'start': 184.26, 'duration': 3.3}
{'text': "have just put up with it but I'm more I", 'start': 185.819, 'duration': 3.78}
{'text': "mean I can't I can't I can't imagine a", 'start': 187.56, 'duration': 4.08}
{'text': 'man would also cite an Anne Hathaway', 'start': 189.599, 'duration': 6.081}
{'text': 'rom-com movie in a debate either', 'start': 191.64, 'duration': 6.599}
{'text': "there's no romance in it it's literally", 'start': 195.68, 'duration': 4.36}
{'text': 'just a comedy', 'start': 198.239, 'duration': 5.22}
{'text': "and it's Robert De Niro actually so that", 'start': 200.04, 'duration': 5.699}
{'text': 'should be really weird for uh Robert De', 'start': 203.459, 'duration': 4.081}
{'text': 'Niro and Anne Hathaway to hook up in the', 'start': 205.739, 'duration': 3.841}
{'text': 'film', 'start': 207.54, 'duration': 5.279}
{'text': 'would it yeah yeah like that was just', 'start': 209.58, 'duration': 5.519}
{'text': "like 20 and he's like 70 so it'd be a", 'start': 212.819, 'duration': 3.84}
{'text': 'little weird Stardust is taking us down', 'start': 215.099, 'duration': 4.081}
{'text': 'an alternate uh you know Branch you know', 'start': 216.659, 'duration': 4.741}
{'text': 'this is an interesting thing', 'start': 219.18, 'duration': 5.16}
{'text': "um beardson what's your take on like the", 'start': 221.4, 'duration': 5.699}
{'text': "the Steve Ransom take that it's wrong", 'start': 224.34, 'duration': 5.22}
{'text': 'for men to date women who are', 'start': 227.099, 'duration': 4.2}
{'text': 'considerably younger because I disagree', 'start': 229.56, 'duration': 3.599}
{'text': 'with that because I think men should be', 'start': 231.299, 'duration': 3.241}
{'text': 'a little bit older than women first', 'start': 233.159, 'duration': 3.421}
{'text': 'because the fertility decline is not a', 'start': 234.54, 'duration': 3.18}
{'text': 'stark', 'start': 236.58, 'duration': 3.719}
{'text': 'um and second so that the men accrue a', 'start': 237.72, 'duration': 5.82}
{'text': 'stable enough income to provide for the', 'start': 240.299, 'duration': 6.601}
{'text': 'younger and still fertile woman', 'start': 243.54, 'duration': 6.24}
{'text': "um I mean as a as a 33 year old man I'm", 'start': 246.9, 'duration': 6.119}
{'text': 'obviously a little biased uh you know I', 'start': 249.78, 'duration': 4.739}
{'text': "definitely don't want to date a woman my", 'start': 253.019, 'duration': 2.301}
{'text': 'age', 'start': 254.519, 'duration': 6.201}
{'text': 'but you know yeah I disagree with it', 'start': 255.32, 'duration': 5.4}
{'text': 'um', 'start': 261.18, 'duration': 4.5}
{'text': "yeah I don't uh I think", 'start': 262.74, 'duration': 5.34}
{'text': "it's kind of pointless to engage with", 'start': 265.68, 'duration': 4.56}
{'text': 'because it is really like on an', 'start': 268.08, 'duration': 4.92}
{'text': 'individual level right if you have two', 'start': 270.24, 'duration': 4.38}
{'text': 'people that have some kind of age Gap', 'start': 273.0, 'duration': 3.419}
{'text': "like if it's a really dramatic age Gap", 'start': 274.62, 'duration': 3.299}
{'text': 'then you just want something some kind', 'start': 276.419, 'duration': 3.361}
{'text': 'of conversation communication to exist', 'start': 277.919, 'duration': 3.78}
{'text': 'between the two of them that like hey', 'start': 279.78, 'duration': 2.82}
{'text': 'like', 'start': 281.699, 'duration': 2.761}
{'text': 'more or less not in these exact words', 'start': 282.6, 'duration': 3.659}
{'text': "but like hey like I've been alive longer", 'start': 284.46, 'duration': 4.08}
{'text': 'than you like I know more than you uh', 'start': 286.259, 'duration': 4.261}
