{'text': 'all right i want to find a new', 'start': 0.16, 'duration': 3.24}
{'text': 'my', 'start': 2.639, 'duration': 2.401}
{'text': 'ingeniousness', 'start': 3.4, 'duration': 4.04}
{'text': 'my capabilities', 'start': 5.04, 'duration': 4.72}
{'text': 'of leadership of management of', 'start': 7.44, 'duration': 4.8}
{'text': 'organization', 'start': 9.76, 'duration': 5.44}
{'text': 'and the unfathomably huge size of my', 'start': 12.24, 'duration': 5.68}
{'text': 'online footprint', 'start': 15.2, 'duration': 4.56}
{'text': 'is being wasted', 'start': 17.92, 'duration': 4.16}
{'text': 'okay', 'start': 19.76, 'duration': 2.32}
{'text': 'we need i need to find the canvassing', 'start': 22.16, 'duration': 4.64}
{'text': 'stuff was fun we need to find like some', 'start': 24.0, 'duration': 5.119}
{'text': 'purposeful direction', 'start': 26.8, 'duration': 4.479}
{'text': 'that we can aim our politics gun at what', 'start': 29.119, 'duration': 4.721}
{'text': 'should we do', 'start': 31.279, 'duration': 2.561}
{'text': 'pushing for a specific legislation like', 'start': 34.32, 'duration': 6.239}
{'text': 'rosman yeah i thought about it but', 'start': 36.239, 'duration': 4.32}
{'text': 'how would we even', 'start': 40.719, 'duration': 4.121}
{'text': 'oh', 'start': 42.48, 'duration': 3.599}
{'text': '[Music]', 'start': 44.84, 'duration': 3.64}
{'text': "i don't know if that's the best use", 'start': 46.079, 'duration': 4.32}
{'text': 'of what i can do so', 'start': 48.48, 'duration': 3.52}
{'text': 'i can get a lot of people to show up for', 'start': 50.399, 'duration': 3.84}
{'text': "something what's the best way to", 'start': 52.0, 'duration': 3.52}
{'text': 'leverage that', 'start': 54.239, 'duration': 2.881}
{'text': 'i feel like canvassing was probably like', 'start': 55.52, 'duration': 3.6}
{'text': 'the best thing we can do but it seems', 'start': 57.12, 'duration': 3.439}
{'text': "like there's a little bit of a", 'start': 59.12, 'duration': 3.2}
{'text': 'vulnerability there', 'start': 60.559, 'duration': 3.92}
{'text': 'more curated content master class dude i', 'start': 62.32, 'duration': 3.199}
{'text': "don't want to go through the effort of", 'start': 64.479, 'duration': 2.721}
{'text': 'making any of that [\xa0__\xa0] plus my opinions', 'start': 65.519, 'duration': 2.881}
{'text': 'change and [\xa0__\xa0] like that like every two', 'start': 67.2, 'duration': 2.239}
{'text': 'or three years so if i make like a', 'start': 68.4, 'duration': 2.48}
{'text': 'master class on like how to do something', 'start': 69.439, 'duration': 3.601}
{'text': "in three years i'm gonna [\xa0__\xa0] hate it", 'start': 70.88, 'duration': 3.52}
{'text': "i'm trying i'm waiting for one of you to", 'start': 73.04, 'duration': 2.96}
{'text': "type in like the magical thing where i'm", 'start': 74.4, 'duration': 2.96}
{'text': "like oh my god that'd be great we can", 'start': 76.0, 'duration': 3.92}
{'text': 'just do that', 'start': 77.36, 'duration': 2.56}
{'text': 'but none of you guys have it huh', 'start': 80.72, 'duration': 6.32}
{'text': '[Laughter]', 'start': 84.8, 'duration': 5.04}
{'text': 'oh jesus', 'start': 87.04, 'duration': 2.8}
{'text': 'go talk at college campuses this is', 'start': 92.079, 'duration': 3.921}
{'text': 'something that i think i could do i', 'start': 94.4, 'duration': 4.719}
{'text': 'could start doing research for this', 'start': 96.0, 'duration': 4.72}
