{'text': 'putin challenged joe biden to a debate', 'start': 0.08, 'duration': 6.0}
{'text': "oh i don't know if i trust biden on that", 'start': 3.36, 'duration': 4.16}
{'text': 'one', 'start': 6.08, 'duration': 4.16}
{'text': "i highly doubt they'd do that i actually", 'start': 7.52, 'duration': 3.68}
{'text': 'would', 'start': 10.24, 'duration': 3.279}
{'text': 'i think seeing hillary clinton do that', 'start': 11.2, 'duration': 3.92}
{'text': 'would have been [\xa0__\xa0] insane', 'start': 13.519, 'duration': 3.68}
{'text': "i don't know if i trust joe biden though", 'start': 15.12, 'duration': 3.84}
{'text': "i don't know i don't know if he could do", 'start': 17.199, 'duration': 2.481}
{'text': 'it man', 'start': 18.96, 'duration': 2.319}
{'text': "i think he's smart enough but i think he", 'start': 19.68, 'duration': 2.8}
{'text': 'would stumble too much and they would', 'start': 21.279, 'duration': 2.24}
{'text': 'look bad', 'start': 22.48, 'duration': 4.879}
{'text': "i mean he's got a stutter yeah", 'start': 23.519, 'duration': 5.041}
{'text': 'putin will never do it he has nothing to', 'start': 27.359, 'duration': 2.401}
{'text': 'gain from it what do you mean putin', 'start': 28.56, 'duration': 2.24}
{'text': 'literally was one that issued the', 'start': 29.76, 'duration': 1.919}
{'text': 'challenge', 'start': 30.8, 'duration': 2.4}
{'text': 'what in the [\xa0__\xa0] would they debate about', 'start': 31.679, 'duration': 3.04}
{'text': "um i think biden's recent comments", 'start': 33.2, 'duration': 3.28}
{'text': 'calling putin a killer', 'start': 34.719, 'duration': 4.401}
{'text': "well well what what's there what's there", 'start': 36.48, 'duration': 3.759}
{'text': 'to debate about', 'start': 39.12, 'duration': 5.84}
{'text': 'what do you mean carefully', 'start': 40.239, 'duration': 6.401}
{'text': 'if it was a purely policy slash history', 'start': 44.96, 'duration': 2.48}
{'text': 'something i think hillary would', 'start': 46.64, 'duration': 1.68}
{'text': 'annihilate well i', 'start': 47.44, 'duration': 2.799}
{'text': 'i think hillary er hillary is smart', 'start': 48.32, 'duration': 3.04}
{'text': 'enough i think to know', 'start': 50.239, 'duration': 2.48}
{'text': "everything that's happened to have a", 'start': 51.36, 'duration': 3.92}
{'text': 'good conversation i think biden is too', 'start': 52.719, 'duration': 4.16}
{'text': "i just don't know if i would trust biden", 'start': 55.28, 'duration': 2.88}
{'text': 'to like verbally navigate that', 'start': 56.879, 'duration': 2.801}
{'text': "conversation without looking like he's", 'start': 58.16, 'duration': 3.199}
{'text': "lost that's the only thing i", 'start': 59.68, 'duration': 4.4}
{'text': 'wonder because like obviously this would', 'start': 61.359, 'duration': 3.281}
{'text': 'all be', 'start': 64.08, 'duration': 3.68}
{'text': 'this would just be a pure optics debate', 'start': 64.64, 'duration': 5.28}
{'text': 'yeah whoever sounded better yeah because', 'start': 67.76, 'duration': 3.52}
{'text': 'i mean like obviously both countries', 'start': 69.92, 'duration': 2.8}
{'text': 'have', 'start': 71.28, 'duration': 5.04}
{'text': 'done bad things right', 'start': 72.72, 'duration': 6.88}
{'text': 'yup this is the widest this is the', 'start': 76.32, 'duration': 4.72}
{'text': "widest thing i've ever read in my entire", 'start': 79.6, 'duration': 2.72}
{'text': 'life here we go', 'start': 81.04, 'duration': 2.8}
{'text': 'democratic presidential candidate joe', 'start': 82.32, 'duration': 3.04}
{'text': 'biden says his tax sites would only', 'start': 83.84, 'duration': 3.279}
{'text': 'affect the wealthy defining', 'start': 85.36, 'duration': 3.52}
{'text': 'that as those who make more than 500 or', 'start': 87.119, 'duration': 3.36}
{'text': "i'm sorry 400 000 a year", 'start': 88.88, 'duration': 3.199}
{'text': 'but according to a financial planning', 'start': 90.479, 'duration': 3.521}
{'text': 'analysis families making 400 thousand a', 'start': 92.079, 'duration': 3.441}
{'text': "year aren't exactly living large", 'start': 94.0, 'duration': 3.119}
{'text': 'especially in major cities', 'start': 95.52, 'duration': 3.52}
{'text': 'a family of four with 400 000 a year in', 'start': 97.119, 'duration': 3.04}
{'text': "income it's more likely to drive a", 'start': 99.04, 'duration': 2.0}
{'text': 'toyota', 'start': 100.159, 'duration': 2.801}
{'text': 'and take staycations than drive a lambo', 'start': 101.04, 'duration': 3.92}
{'text': 'and fly first class', 'start': 102.96, 'duration': 4.479}
{'text': 'what is this from four hundred thousand', 'start': 104.96, 'duration': 3.76}
{'text': 'a year would that not put you in like', 'start': 107.439, 'duration': 3.121}
{'text': 'the top one percent of earnest in the uh', 'start': 108.72, 'duration': 2.32}
{'text': 'i think it', 'start': 110.56, 'duration': 1.919}
{'text': 'i think it actually i think tomorrow is', 'start': 111.04, 'duration': 3.359}
{'text': 'like 350 well hold on top one percent', 'start': 112.479, 'duration': 3.761}
{'text': 'income u.s', 'start': 114.399, 'duration': 4.32}
{'text': 'oh top one percent is 540k so it', 'start': 116.24, 'duration': 3.6}
{'text': 'probably puts you like the top two', 'start': 118.719, 'duration': 2.241}
{'text': 'percent', 'start': 119.84, 'duration': 5.36}
{'text': 'yeah jesus christ', 'start': 120.96, 'duration': 6.96}
{'text': "it's got to be it's gotta be a meme", 'start': 125.2, 'duration': 5.119}
{'text': 'article', 'start': 127.92, 'duration': 2.399}
{'text': "isn't this for four people though even", 'start': 131.84, 'duration': 3.44}
{'text': 'for four people it should be easily', 'start': 133.44, 'duration': 3.36}
{'text': 'doable', 'start': 135.28, 'duration': 3.28}
{'text': 'this is something that came up in the', 'start': 136.8, 'duration': 3.439}
{'text': 'election cycle last time', 'start': 138.56, 'duration': 3.2}
{'text': "in the uk i think there's a massive", 'start': 140.239, 'duration': 3.761}
{'text': 'disconnect between the people who are', 'start': 141.76, 'duration': 3.6}
{'text': 'near the top of the earning bracket', 'start': 144.0, 'duration': 4.08}
{'text': 'and what they perceive as rich so', 'start': 145.36, 'duration': 3.76}
{'text': "there's like this guy", 'start': 148.08, 'duration': 2.56}
{'text': "like labor's policy at the time was that", 'start': 149.12, 'duration': 2.88}
{'text': 'they would only increase taxes on the', 'start': 150.64, 'duration': 3.2}
{'text': 'top five percent of earnest', 'start': 152.0, 'duration': 4.16}
{'text': 'oh five this guy was on yeah and this', 'start': 153.84, 'duration': 4.08}
{'text': 'guy on question time', 'start': 156.16, 'duration': 4.48}
{'text': 'was basically saying that labour was', 'start': 157.92, 'duration': 4.64}
{'text': "gonna put up his taxes but he's", 'start': 160.64, 'duration': 3.44}
{'text': 'not actually in the top five percent of', 'start': 162.56, 'duration': 3.6}
{'text': 'earners so the guy is lying', 'start': 164.08, 'duration': 3.6}
{'text': "and he was like well if you're not the", 'start': 166.16, 'duration': 3.04}
{'text': 'top five percent of earners your taxes', 'start': 167.68, 'duration': 2.4}
{'text': "won't go up", 'start': 169.2, 'duration': 2.8}
{'text': "he's like well i will because i've read", 'start': 170.08, 'duration': 3.36}
{'text': 'your policy and it says that if you end', 'start': 172.0, 'duration': 2.64}
{'text': 'more than 80 000 pounds', 'start': 173.44, 'duration': 3.36}
{'text': "you're going to tax me and you know", 'start': 174.64, 'duration': 3.599}
{'text': 'every doctor in the country ants more', 'start': 176.8, 'duration': 2.64}
{'text': 'than me every lawyer in the country', 'start': 178.239, 'duration': 2.241}
{'text': 'earns more than me', 'start': 179.44, 'duration': 2.719}
{'text': "and that's just like not true but you", 'start': 180.48, 'duration': 3.039}
{'text': "know you've got people out here earning", 'start': 182.159, 'duration': 2.881}
{'text': "80 grand and they don't feel like", 'start': 183.519, 'duration': 2.881}
{'text': "they're that well off", 'start': 185.04, 'duration': 3.199}
{'text': "when in reality they've just got no idea", 'start': 186.4, 'duration': 3.44}
{'text': 'how poor some people are', 'start': 188.239, 'duration': 4.64}
{'text': "yeah and i think in the uk i think it's", 'start': 189.84, 'duration': 4.319}
{'text': 'like 250', 'start': 192.879, 'duration': 3.44}
{'text': 'pound 250 000 quid a year i think puts', 'start': 194.159, 'duration': 4.0}
{'text': 'you in the top one percent i think', 'start': 196.319, 'duration': 5.2}
{'text': "for uk i imagine it's less than that", 'start': 198.159, 'duration': 4.961}
{'text': 'that guy in your mention saying that', 'start': 201.519, 'duration': 3.601}
{'text': "about 400k is making me rich he's just", 'start': 203.12, 'duration': 3.199}
{'text': 'trying to like', 'start': 205.12, 'duration': 4.32}
{'text': "humble break i think i don't know", 'start': 206.319, 'duration': 4.801}
{'text': "i do i think he's like it's not even", 'start': 209.44, 'duration': 3.68}
{'text': 'that much money', 'start': 211.12, 'duration': 4.8}
{'text': 'anyone can chad that that guy makes 400k', 'start': 213.12, 'duration': 3.839}
{'text': 'a year', 'start': 215.92, 'duration': 4.879}
{'text': 'no shot cuz if he made 400k then', 'start': 216.959, 'duration': 5.92}
{'text': 'why is he like wasting his time on', 'start': 220.799, 'duration': 3.041}
{'text': 'twitter in', 'start': 222.879, 'duration': 4.08}
{'text': "steven's replies something", 'start': 223.84, 'duration': 6.479}
{'text': 'more productive with his life', 'start': 226.959, 'duration': 3.36}
{'text': 'if he really makes so much money', 'start': 231.28, 'duration': 4.239}
{'text': "shouldn't he be like in hawaii or like", 'start': 232.56, 'duration': 5.44}
{'text': "i don't know i suspect if you did the", 'start': 235.519, 'duration': 5.521}
{'text': 'statistics properly i suspect that', 'start': 238.0, 'duration': 5.2}
{'text': 'that medicine independent of public', 'start': 241.04, 'duration': 5.68}
{'text': 'health kills more people than it saves', 'start': 243.2, 'duration': 12.64}
{'text': 'i suspect', 'start': 246.72, 'duration': 9.12}
{'text': 'um okay', 'start': 262.639, 'duration': 3.201}
{'text': 'in fact if you if you factor in', 'start': 265.919, 'duration': 3.601}
{'text': 'phenomena like the development of', 'start': 268.0, 'duration': 3.04}
{'text': 'superbugs in hospitals', 'start': 269.52, 'duration': 4.0}
{'text': 'for example did the statistics properly', 'start': 271.04, 'duration': 4.32}
{'text': 'i suspect that', 'start': 273.52, 'duration': 4.0}
{'text': 'that medicine independent of public', 'start': 275.36, 'duration': 5.68}
{'text': 'health kills more people than it saves', 'start': 277.52, 'duration': 5.92}
{'text': 'i suspect if you if you factor in', 'start': 281.04, 'duration': 3.92}
{'text': 'phenomena like the development of', 'start': 283.44, 'duration': 4.24}
{'text': 'superbugs in hospitals for example', 'start': 284.96, 'duration': 4.48}
{'text': 'that overall the net consequence of', 'start': 287.68, 'duration': 3.44}
{'text': 'hospitals is negative', 'start': 289.44, 'duration': 5.28}
{'text': 'wait wait what about what about like all', 'start': 291.12, 'duration': 5.2}
{'text': 'the actual bugs that were just like mass', 'start': 294.72, 'duration': 3.199}
{'text': 'killing people before like medicine and', 'start': 296.32, 'duration': 2.879}
{'text': '[\xa0__\xa0]', 'start': 297.919, 'duration': 4.401}
{'text': 'what about like measles', 'start': 299.199, 'duration': 3.121}
{'text': 'what about like the bubonic plague or', 'start': 305.84, 'duration': 4.24}
{'text': 'the spanish flu', 'start': 309.12, 'duration': 3.28}
{'text': 'or like', 'start': 310.08, 'duration': 2.32}
{'text': 'or what about like diabetes with the', 'start': 314.16, 'duration': 4.72}
{'text': 'absence of public medicine he said', 'start': 316.88, 'duration': 4.48}
{'text': 'what does public medicine mean is he', 'start': 318.88, 'duration': 3.12}
{'text': 'just saying', 'start': 321.36, 'duration': 2.24}
{'text': 'is he just saying public health so that', 'start': 322.0, 'duration': 2.72}
{'text': 'he can say well all the good stuff', 'start': 323.6, 'duration': 3.439}
{'text': 'counts as public health and then every', 'start': 324.72, 'duration': 4.16}
