{'text': 'wait suspect sushi got arrested proud', 'start': 0.08, 'duration': 4.96}
{'text': 'boys member jeffrey finley was a lot was', 'start': 3.04, 'duration': 3.359}
{'text': 'arrested last month for going inside the', 'start': 5.04, 'duration': 4.799}
{'text': 'capitol building during the insurrection', 'start': 6.399, 'duration': 3.44}
{'text': 'oh no this guy said he was going to pay', 'start': 9.92, 'duration': 3.679}
{'text': 'for me to move to sweden', 'start': 11.84, 'duration': 2.959}
{'text': 'am i not going to get that money now if', 'start': 13.599, 'duration': 3.68}
{'text': "he's in jail", 'start': 14.799, 'duration': 4.24}
{'text': 'he calls himself suspect sushi online', 'start': 17.279, 'duration': 3.361}
{'text': 'just actually january 6th determined', 'start': 19.039, 'duration': 3.201}
{'text': "they're more attention", 'start': 20.64, 'duration': 3.36}
{'text': 'jeff was helping organize and lead the', 'start': 22.24, 'duration': 3.84}
{'text': 'insurrection standings to flower pot', 'start': 24.0, 'duration': 3.599}
{'text': 'before entering', 'start': 26.08, 'duration': 4.64}
{'text': 'wait proud boys leader joe biggs', 'start': 27.599, 'duration': 4.561}
{'text': "pigs i've never i've never talked", 'start': 30.72, 'duration': 2.4}
{'text': "there's no way i've talked to this guy", 'start': 32.16, 'duration': 1.76}
{'text': 'before right', 'start': 33.12, 'duration': 2.24}
{'text': "what i feel like i've talked to a biggs", 'start': 33.92, 'duration': 4.159}
{'text': 'or something before', 'start': 35.36, 'duration': 2.719}
{'text': "i feel like i've talked to somebody with", 'start': 38.32, 'duration': 4.079}
{'text': 'the last name biggs', 'start': 39.36, 'duration': 3.039}
{'text': 'gun debate you have wait', 'start': 42.64, 'duration': 10.0}
{'text': 'did i debate destiny', 'start': 47.52, 'duration': 5.12}
{'text': "what's up guys welcome they they said", 'start': 54.0, 'duration': 3.76}
{'text': 'that', 'start': 57.199, 'duration': 4.16}
{'text': 'rambo biggs is this the same guy', 'start': 57.76, 'duration': 5.2}
{'text': "it doesn't in the united states i'm", 'start': 61.359, 'duration': 3.84}
{'text': 'looking at all homicides', 'start': 62.96, 'duration': 4.56}
{'text': "i can't listen to myself oh god check", 'start': 65.199, 'duration': 5.041}
{'text': 'the link it has his picture', 'start': 67.52, 'duration': 4.24}
{'text': "wait this guy is the current person it's", 'start': 70.24, 'duration': 3.84}
{'text': 'about joe biggs versus destiny', 'start': 71.76, 'duration': 5.2}
{'text': "oh great i don't want to hear this [\xa0__\xa0]", 'start': 74.08, 'duration': 3.84}
{'text': 'going on at my school', 'start': 76.96, 'duration': 3.04}
{'text': "like it's insane i don't know how only", 'start': 77.92, 'duration': 3.92}
{'text': 'americans can think this is reasonable', 'start': 80.0, 'duration': 3.439}
{'text': 'look at the numbers every single year', 'start': 81.84, 'duration': 2.88}
{'text': 'more people are killed in the united', 'start': 83.439, 'duration': 2.641}
{'text': 'states and across the entire continent', 'start': 84.72, 'duration': 1.84}
{'text': 'of europe', 'start': 86.08, 'duration': 4.079}
{'text': "jesus well and baked alaska's here too", 'start': 86.56, 'duration': 5.04}
{'text': 'do you think that me calling suspect', 'start': 90.159, 'duration': 2.96}
{'text': 'sushi and uncle tom do you think spurred', 'start': 91.6, 'duration': 2.0}
{'text': 'on', 'start': 93.119, 'duration': 2.32}
{'text': 'all of this [\xa0__\xa0] do you think i in some', 'start': 93.6, 'duration': 4.32}
{'text': 'way was the', 'start': 95.439, 'duration': 3.921}
{'text': "beginning of his downfall i'm just", 'start': 97.92, 'duration': 4.879}
{'text': "kidding i can't believe he got arrested", 'start': 99.36, 'duration': 8.799}
{'text': 'oh no the domino meme', 'start': 102.799, 'duration': 7.041}
{'text': "when um i don't know we got into fights", 'start': 108.159, 'duration': 3.041}
{'text': 'on panels a long time ago and now', 'start': 109.84, 'duration': 2.639}
{'text': 'apparently got arrested for', 'start': 111.2, 'duration': 3.919}
{'text': 'capital riots for being one of the', 'start': 112.479, 'duration': 4.161}
{'text': 'insurrectionist leaders', 'start': 115.119, 'duration': 2.96}
{'text': "i just don't understand why anybody", 'start': 116.64, 'duration': 3.759}
{'text': "who's a patriotic like nation-loving", 'start': 118.079, 'duration': 3.841}
{'text': 'american would want to have statues', 'start': 120.399, 'duration': 2.961}
{'text': 'commemorating people that literally', 'start': 121.92, 'duration': 2.96}
{'text': "tried to split your nation in half it's", 'start': 123.36, 'duration': 2.64}
{'text': "like one of the most divisive it's", 'start': 124.88, 'duration': 2.239}
{'text': 'literally one of the most divisive', 'start': 126.0, 'duration': 2.72}
{'text': 'things i come out of here', 'start': 127.119, 'duration': 3.041}
{'text': "here's why real quick okay so you should", 'start': 128.72, 'duration': 2.8}
{'text': "keep saying i don't know why you keep", 'start': 130.16, 'duration': 2.56}
{'text': 'bringing up like oh well both sides', 'start': 131.52, 'duration': 2.56}
{'text': 'benefited from slavery', 'start': 132.72, 'duration': 4.32}
{'text': 'like slavery was obviously like more', 'start': 134.08, 'duration': 9.36}
{'text': 'advantageous to the south of the north', 'start': 137.04, 'duration': 7.44}
{'text': "wait i'm just saying that like to keep", 'start': 143.44, 'duration': 2.4}
{'text': 'saying to keep pretending that the south', 'start': 144.48, 'duration': 2.72}
