{'text': 'I watch your content all the time you', 'start': 0.92, 'duration': 4.24}
{'text': 'guys I feel like fight really well for', 'start': 3.54, 'duration': 3.0}
{'text': 'minorities and you talk about people', 'start': 5.16, 'duration': 4.14}
{'text': 'like system right not sexual minorities', 'start': 6.54, 'duration': 5.04}
{'text': "absolutely that's how I feel too then", 'start': 9.3, 'duration': 3.419}
{'text': 'then why are we appealing to the', 'start': 11.58, 'duration': 2.519}
{'text': "majority that's there to [\xa0__\xa0] us like I", 'start': 12.719, 'duration': 3.181}
{'text': "don't get it wait hold up I swear to God", 'start': 14.099, 'duration': 2.821}
{'text': "I'm not trying to be racist here's the", 'start': 15.9, 'duration': 2.4}
{'text': "problem it's this weird intersection", 'start': 16.92, 'duration': 3.359}
{'text': 'right now with human biology and the', 'start': 18.3, 'duration': 3.12}
{'text': 'environment that we built for ourselves', 'start': 20.279, 'duration': 3.061}
{'text': 'that caters to parts of our biology that', 'start': 21.42, 'duration': 3.359}
{'text': "we're never supposed to be rewarded that", 'start': 23.34, 'duration': 3.9}
{'text': "much we've become obsessed we've become", 'start': 24.779, 'duration': 4.981}
{'text': 'so good at utilizing technology that we', 'start': 27.24, 'duration': 4.26}
{'text': 'have adapted too much of our lives', 'start': 29.76, 'duration': 3.6}
{'text': "around ourselves and we've come to this", 'start': 31.5, 'duration': 3.84}
{'text': 'like understanding that all forms of', 'start': 33.36, 'duration': 4.02}
{'text': 'friction are bad no no no no no no no no', 'start': 35.34, 'duration': 3.899}
{'text': "I'm not putting it I'm saying that", 'start': 37.38, 'duration': 4.679}
{'text': 'people have access now to infinite', 'start': 39.239, 'duration': 5.221}
{'text': 'dopamine buttons in front of them that', 'start': 42.059, 'duration': 4.561}
{'text': 'now now you have to compete with Tick', 'start': 44.46, 'duration': 4.4}
{'text': 'Tock this is gonna sound so [\xa0__\xa0] up', 'start': 46.62, 'duration': 4.14}
{'text': "don't make it personal just make it", 'start': 48.86, 'duration': 4.12}
{'text': 'General no no no it is kind of funny', 'start': 50.76, 'duration': 5.04}
{'text': "wait how lab talks about how she's like", 'start': 52.98, 'duration': 5.759}
{'text': 'so against misogyny while being a sex', 'start': 55.8, 'duration': 5.939}
{'text': 'worker is that even like a thing oh', 'start': 58.739, 'duration': 6.661}
{'text': "she's got ya checking mates wait how can", 'start': 61.739, 'duration': 5.401}
{'text': 'how are those positions incongruent all', 'start': 65.4, 'duration': 4.56}
{'text': "right yeah I mean it's kind of basically", 'start': 67.14, 'duration': 5.46}
