{'text': 'ideally I would be an anarchist and like', 'start': 0.0, 'duration': 4.98}
{'text': 'in ideals I hate everything that the', 'start': 3.24, 'duration': 3.059}
{'text': 'government has done so far what about', 'start': 4.98, 'duration': 2.7}
{'text': "Russia Russia's not invading a NATO", 'start': 6.299, 'duration': 3.481}
{'text': "country not now I'm saying they need to", 'start': 7.68, 'duration': 3.539}
{'text': "know what they want they won't even with", 'start': 9.78, 'duration': 2.58}
{'text': "the military because it'd be nuclear war", 'start': 11.219, 'duration': 2.88}
{'text': "it'd be over no it wouldn't yes it would", 'start': 12.36, 'duration': 4.38}
{'text': 'be no conventional Warfare between two', 'start': 14.099, 'duration': 4.501}
{'text': 'nuclear uh countries does not', 'start': 16.74, 'duration': 3.36}
{'text': 'necessarily mean that it would if it was', 'start': 18.6, 'duration': 3.3}
{'text': 'between Russia and nato in the United', 'start': 20.1, 'duration': 3.72}
{'text': 'States this is why this is why Russia', 'start': 21.9, 'duration': 3.18}
{'text': 'and the US are so careful not to cross', 'start': 23.82, 'duration': 2.82}
{'text': "swords it's because they know that", 'start': 25.08, 'duration': 2.699}
{'text': "that's where it could eventually lead", 'start': 26.64, 'duration': 2.399}
{'text': "right it could that doesn't mean it will", 'start': 27.779, 'duration': 2.881}
{'text': "no but I I don't think Russia's ever", 'start': 29.039, 'duration': 3.181}
{'text': 'been in a new country are you ready to', 'start': 30.66, 'duration': 4.28}
{'text': 'get banned from YouTube', 'start': 32.22, 'duration': 5.999}
{'text': 'uh my name is Bailey Cole I am the', 'start': 34.94, 'duration': 5.02}
{'text': 'treasurer for Aggies for Liberty on', 'start': 38.219, 'duration': 4.68}
{'text': 'campus and I am also a Libertarian Party', 'start': 39.96, 'duration': 4.5}
{'text': 'candidate for Brazos County Justice of', 'start': 42.899, 'duration': 3.66}
{'text': "the Peace gotcha all right my name's", 'start': 44.46, 'duration': 3.24}
{'text': 'Stephen I think Joe Biden is doing a', 'start': 46.559, 'duration': 3.241}
{'text': 'tremendous job in office', 'start': 47.7, 'duration': 4.62}
{'text': 'So when you say good are you talking', 'start': 49.8, 'duration': 4.32}
{'text': 'about relative to other presidents or in', 'start': 52.32, 'duration': 3.719}
{'text': 'an absolute sense um in an absolute', 'start': 54.12, 'duration': 2.939}
{'text': 'sense in terms of like what are the', 'start': 56.039, 'duration': 2.34}
{'text': 'decisions they could be making and then', 'start': 57.059, 'duration': 2.761}
{'text': 'I mean relative to other presidents I', 'start': 58.379, 'duration': 2.52}
{'text': "guess I'd say too but that's a harder", 'start': 59.82, 'duration': 2.219}
{'text': 'one because obviously you have to deal', 'start': 60.899, 'duration': 2.701}
{'text': 'with the situations with that when you', 'start': 62.039, 'duration': 4.141}
{'text': 'come to office so all right', 'start': 63.6, 'duration': 5.22}
{'text': 'um so I just would have to ask like what', 'start': 66.18, 'duration': 4.439}
{'text': "because I I know who you are but I don't", 'start': 68.82, 'duration': 3.0}
{'text': "like actually watch it so I couldn't", 'start': 70.619, 'duration': 3.481}
{'text': 'articulate in your positions what', 'start': 71.82, 'duration': 3.659}
{'text': 'exactly do you think it is that Joe', 'start': 74.1, 'duration': 2.94}
{'text': 'Biden has done that is good like at', 'start': 75.479, 'duration': 2.82}
{'text': 'least like a couple specific examples', 'start': 77.04, 'duration': 3.0}
{'text': 'sure so I think that all of the', 'start': 78.299, 'duration': 3.421}
{'text': "decisions he's made foreign policy wise", 'start': 80.04, 'duration': 3.18}
{'text': 'in regards to Ukraine I think have been', 'start': 81.72, 'duration': 3.24}
{'text': 'almost perfect', 'start': 83.22, 'duration': 3.66}
{'text': "um I would say that legislatively it's", 'start': 84.96, 'duration': 3.24}
{'text': 'been pretty amazing that he was able to', 'start': 86.88, 'duration': 3.18}
{'text': 'get the infrastructure bill passed', 'start': 88.2, 'duration': 3.9}
{'text': 'um I think that the um the', 'start': 90.06, 'duration': 3.0}
{'text': 'accomplishment they had under the', 'start': 92.1, 'duration': 2.46}
{'text': 'coronavirus like relief I think was', 'start': 93.06, 'duration': 2.94}
{'text': 'really good the passing the expanded', 'start': 94.56, 'duration': 3.419}
{'text': 'child tax credit everything', 'start': 96.0, 'duration': 3.84}
{'text': 'um and and then like on a kind of', 'start': 97.979, 'duration': 3.721}
{'text': 'overarching level like his General like', 'start': 99.84, 'duration': 3.12}
{'text': 'trying to work with both sides and not', 'start': 101.7, 'duration': 2.58}
{'text': 'being like an extreme Progressive and', 'start': 102.96, 'duration': 3.119}
{'text': 'not trying to be like extremely far left', 'start': 104.28, 'duration': 3.54}
{'text': "I think it's been pretty positive for", 'start': 106.079, 'duration': 3.661}
{'text': 'kind of like cooling down the political', 'start': 107.82, 'duration': 3.839}
{'text': 'course in the country without constantly', 'start': 109.74, 'duration': 3.78}
{'text': 'demonizing the other side and then we', 'start': 111.659, 'duration': 3.0}
{'text': 'can get more specific if you want on any', 'start': 113.52, 'duration': 3.059}
{'text': 'of those topics okay', 'start': 114.659, 'duration': 5.341}
{'text': "um I don't necessarily know that he is", 'start': 116.579, 'duration': 4.801}
{'text': 'um', 'start': 120.0, 'duration': 3.72}
{'text': "tried to cool anything down I think he's", 'start': 121.38, 'duration': 4.08}
{'text': 'just mostly not done anything and that', 'start': 123.72, 'duration': 3.3}
{'text': 'has done enough because the last couple', 'start': 125.46, 'duration': 3.42}
{'text': 'presidents have been very bad at just', 'start': 127.02, 'duration': 3.12}
{'text': 'ramping up tensions in the country we', 'start': 128.88, 'duration': 2.159}
{'text': 'already had what do you mean not done', 'start': 130.14, 'duration': 2.22}
{'text': "anything he's had some major legislative", 'start': 131.039, 'duration': 2.761}
{'text': "accomplishments no no uh no I'm talking", 'start': 132.36, 'duration': 3.239}
{'text': 'about from the sense of tensions uh oh', 'start': 133.8, 'duration': 3.06}
{'text': 'okay because I was focusing on that one', 'start': 135.599, 'duration': 4.021}
